SPECIES,HUC8,ORIGIN,POINTDATA
Carpiodes carpio,06010103,Native,FALSE
Carpiodes carpio,06010105,Native,FALSE
Carpiodes carpio,06010108,Native,FALSE
Carpiodes carpio,06010204,Native,FALSE
Carpiodes carpio,10110101,Native,FALSE
Carpiodes carpio,10110205,Native,FALSE
Carpiodes carpio,10130101,Native,FALSE
Carpiodes carpio,10130201,Native,TRUE
Carpiodes carpio,10130202,Native,TRUE
Carpiodes carpio,10130203,Native,TRUE
Carpiodes carpio,10130204,Native,TRUE
Carpiodes carpio,10130206,Native,TRUE
Carpiodes carpio,10110203,Native,TRUE
Carpiodes carpio,10120108,Native,TRUE
Carpiodes carpio,10150007,Native,TRUE
Carpiodes carpio,10180014,Native,TRUE
Carpiodes carpio,10200101,Native,TRUE
Carpiodes carpio,10200103,Native,TRUE
Carpiodes carpio,10200201,Native,TRUE
Carpiodes carpio,10200202,Native,TRUE
Carpiodes carpio,10200203,Native,TRUE
Carpiodes carpio,10210001,Native,TRUE
Carpiodes carpio,10210003,Native,TRUE
Carpiodes carpio,10210004,Native,TRUE
Carpiodes carpio,10210005,Native,TRUE
Carpiodes carpio,10210006,Native,TRUE
Carpiodes carpio,10210007,Native,TRUE
Carpiodes carpio,10210009,Native,TRUE
Carpiodes carpio,10220001,Native,TRUE
Carpiodes carpio,10220002,Native,TRUE
Carpiodes carpio,10220003,Native,TRUE
Carpiodes carpio,10220004,Native,TRUE
Carpiodes carpio,10240006,Native,TRUE
Carpiodes carpio,10270201,Native,FALSE
Carpiodes carpio,10270202,Native,TRUE
Carpiodes carpio,10270203,Native,TRUE
Carpiodes carpio,10270204,Native,TRUE
Carpiodes carpio,10190018,Native,TRUE
Carpiodes carpio,10250006,Native,FALSE
Carpiodes carpio,10240001,Native,TRUE
Carpiodes carpio,10240008,Native,TRUE
Carpiodes carpio,10250004,Native,TRUE
Carpiodes carpio,10250009,Native,TRUE
Carpiodes carpio,10270206,Native,TRUE
Carpiodes carpio,10140101,Native,TRUE
Carpiodes carpio,10150001,Native,TRUE
Carpiodes carpio,10150004,Native,TRUE
Carpiodes carpio,10150006,Native,TRUE
Carpiodes carpio,10170101,Native,TRUE
Carpiodes carpio,10180009,Native,TRUE
Carpiodes carpio,11080003,Native,FALSE
Carpiodes carpio,11080006,Native,FALSE
Carpiodes carpio,11080008,Native,FALSE
Carpiodes carpio,13020101,Native,FALSE
Carpiodes carpio,13020102,Native,FALSE
