SPECIES,HUC8,ORIGIN,POINTDATA
Carpiodes cyprinus,03040101,Native,TRUE
Carpiodes cyprinus,03040102,Native,FALSE
Carpiodes cyprinus,03040103,Native,FALSE
Carpiodes cyprinus,03040104,Native,FALSE
Carpiodes cyprinus,03050101,Native,TRUE
Carpiodes cyprinus,06010103,Native,TRUE
Carpiodes cyprinus,06010105,Native,TRUE
Carpiodes cyprinus,06010106,Native,TRUE
Carpiodes cyprinus,06010108,Native,TRUE
Carpiodes cyprinus,06010204,Native,TRUE
Carpiodes cyprinus,03010102,Native,FALSE
Carpiodes cyprinus,03010103,Native,TRUE
Carpiodes cyprinus,03010104,Native,TRUE
Carpiodes cyprinus,03010106,Native,TRUE
Carpiodes cyprinus,03010203,Native,FALSE
Carpiodes cyprinus,03010204,Native,TRUE
Carpiodes cyprinus,05050001,Introduced,FALSE
Carpiodes cyprinus,09020109,Native,TRUE
Carpiodes cyprinus,09020204,Native,FALSE
Carpiodes cyprinus,09020205,Native,FALSE
Carpiodes cyprinus,09020307,Native,FALSE
Carpiodes cyprinus,09020308,Native,FALSE
Carpiodes cyprinus,09020310,Native,FALSE
Carpiodes cyprinus,10110101,Native,FALSE
Carpiodes cyprinus,10130101,Native,FALSE
Carpiodes cyprinus,09020316,Native,TRUE
Carpiodes cyprinus,09020107,Native,TRUE
Carpiodes cyprinus,09020105,Native,FALSE
Carpiodes cyprinus,10150003,Native,FALSE
Carpiodes cyprinus,10150007,Native,TRUE
Carpiodes cyprinus,10180014,Native,TRUE
Carpiodes cyprinus,10200101,Native,TRUE
Carpiodes cyprinus,10200102,Native,TRUE
Carpiodes cyprinus,10200103,Native,TRUE
Carpiodes cyprinus,10200201,Native,FALSE
Carpiodes cyprinus,10200202,Native,TRUE
Carpiodes cyprinus,10200203,Native,TRUE
Carpiodes cyprinus,10210003,Native,TRUE
Carpiodes cyprinus,10210004,Native,TRUE
Carpiodes cyprinus,10210005,Native,FALSE
Carpiodes cyprinus,10210007,Native,TRUE
Carpiodes cyprinus,10210008,Native,FALSE
Carpiodes cyprinus,10210009,Native,TRUE
Carpiodes cyprinus,10210010,Native,TRUE
Carpiodes cyprinus,10220001,Native,TRUE
Carpiodes cyprinus,10220002,Native,FALSE
Carpiodes cyprinus,10220003,Native,TRUE
Carpiodes cyprinus,10220004,Native,TRUE
Carpiodes cyprinus,10250008,Native,FALSE
Carpiodes cyprinus,10270201,Native,FALSE
Carpiodes cyprinus,10270202,Native,TRUE
Carpiodes cyprinus,10270203,Native,FALSE
Carpiodes cyprinus,10270204,Native,TRUE
Carpiodes cyprinus,10190018,Native,TRUE
Carpiodes cyprinus,10240001,Native,TRUE
Carpiodes cyprinus,10240008,Native,TRUE
Carpiodes cyprinus,10250004,Native,TRUE
Carpiodes cyprinus,10250009,Native,TRUE
Carpiodes cyprinus,10270206,Native,TRUE
Carpiodes cyprinus,10140101,Native,FALSE
Carpiodes cyprinus,10140201,Native,TRUE
Carpiodes cyprinus,10150001,Native,FALSE
Carpiodes cyprinus,10150004,Native,TRUE
Carpiodes cyprinus,10150006,Native,TRUE
Carpiodes cyprinus,10170101,Native,TRUE
Carpiodes cyprinus,10150002,Native,FALSE
Carpiodes cyprinus,10180009,Native,TRUE
Carpiodes cyprinus,02040105,Native,TRUE
Carpiodes cyprinus,02040201,Native,FALSE
Carpiodes cyprinus,02040202,Native,FALSE
Carpiodes cyprinus,02050102,Native,FALSE
Carpiodes cyprinus,04120102,Native,TRUE
Carpiodes cyprinus,04120103,Native,TRUE
Carpiodes cyprinus,04130003,Native,FALSE
Carpiodes cyprinus,04140101,Native,FALSE
Carpiodes cyprinus,04140201,Native,FALSE
Carpiodes cyprinus,04140202,Native,FALSE
Carpiodes cyprinus,04140203,Native,FALSE
Carpiodes cyprinus,04150101,Native,FALSE
Carpiodes cyprinus,04150102,Native,FALSE
Carpiodes cyprinus,04150306,Native,FALSE
Carpiodes cyprinus,04150309,Native,FALSE
Carpiodes cyprinus,04150310,Native,FALSE
Carpiodes cyprinus,04150308,Native,FALSE
Carpiodes cyprinus,04150408,Native,FALSE
Carpiodes cyprinus,04100007,Native,TRUE
Carpiodes cyprinus,04100008,Native,TRUE
Carpiodes cyprinus,04100009,Native,TRUE
Carpiodes cyprinus,04100010,Native,TRUE
Carpiodes cyprinus,04100011,Native,TRUE
Carpiodes cyprinus,04100012,Native,TRUE
Carpiodes cyprinus,04110001,Native,TRUE
Carpiodes cyprinus,04110002,Native,TRUE
Carpiodes cyprinus,04110003,Native,TRUE
Carpiodes cyprinus,04110004,Native,TRUE
Carpiodes cyprinus,05030103,Native,FALSE
Carpiodes cyprinus,05030204,Native,TRUE
Carpiodes cyprinus,05040001,Native,TRUE
Carpiodes cyprinus,05040002,Native,TRUE
Carpiodes cyprinus,05040003,Native,TRUE
Carpiodes cyprinus,05040004,Native,TRUE
Carpiodes cyprinus,05040005,Native,TRUE
Carpiodes cyprinus,05040006,Native,TRUE
Carpiodes cyprinus,05060002,Native,TRUE
Carpiodes cyprinus,05060003,Native,TRUE
Carpiodes cyprinus,05090202,Native,TRUE
Carpiodes cyprinus,05080001,Native,TRUE
Carpiodes cyprinus,05080002,Native,TRUE
Carpiodes cyprinus,05120101,Native,TRUE
Carpiodes cyprinus,04100001,Native,FALSE
Carpiodes cyprinus,04100006,Native,TRUE
Carpiodes cyprinus,04120101,Native,TRUE
Carpiodes cyprinus,11060006,Native,TRUE
Carpiodes cyprinus,11070105,Native,FALSE
Carpiodes cyprinus,11070107,Native,FALSE
Carpiodes cyprinus,11070209,Native,FALSE
Carpiodes cyprinus,11110101,Native,TRUE
Carpiodes cyprinus,11110102,Native,TRUE
Carpiodes cyprinus,11110103,Native,FALSE
Carpiodes cyprinus,11110104,Native,FALSE
Carpiodes cyprinus,11060001,Native,FALSE
Carpiodes cyprinus,11060004,Native,FALSE
Carpiodes cyprinus,11060005,Native,TRUE
Carpiodes cyprinus,11070103,Native,TRUE
Carpiodes cyprinus,11070106,Native,TRUE
Carpiodes cyprinus,02040106,Native,FALSE
Carpiodes cyprinus,02040203,Native,TRUE
Carpiodes cyprinus,02050106,Native,TRUE
Carpiodes cyprinus,02050107,Native,FALSE
Carpiodes cyprinus,02050206,Native,TRUE
Carpiodes cyprinus,02050301,Native,TRUE
Carpiodes cyprinus,02050303,Native,FALSE
Carpiodes cyprinus,02050304,Native,TRUE
Carpiodes cyprinus,02050305,Native,TRUE
Carpiodes cyprinus,05010003,Native,FALSE
Carpiodes cyprinus,05010004,Native,FALSE
Carpiodes cyprinus,05010005,Native,FALSE
Carpiodes cyprinus,05010006,Native,TRUE
Carpiodes cyprinus,05010007,Native,FALSE
Carpiodes cyprinus,05010008,Native,FALSE
Carpiodes cyprinus,05010009,Native,TRUE
Carpiodes cyprinus,05030104,Native,FALSE
Carpiodes cyprinus,05030105,Native,FALSE
Carpiodes cyprinus,02050306,Native,TRUE
Carpiodes cyprinus,02040104,Native,FALSE
Carpiodes cyprinus,02050101,Native,FALSE
Carpiodes cyprinus,02050103,Native,TRUE
Carpiodes cyprinus,02050104,Native,FALSE
Carpiodes cyprinus,02050105,Native,TRUE
Carpiodes cyprinus,04130002,Native,FALSE
Carpiodes cyprinus,05010001,Native,TRUE
Carpiodes cyprinus,05010002,Native,FALSE
Carpiodes cyprinus,05030102,Native,TRUE
Carpiodes cyprinus,05020005,Native,TRUE
Carpiodes cyprinus,05030101,Native,TRUE
Carpiodes cyprinus,05030106,Native,TRUE
Carpiodes cyprinus,03040207,Native,TRUE
Carpiodes cyprinus,03050104,Native,TRUE
Carpiodes cyprinus,03050110,Native,FALSE
Carpiodes cyprinus,03050111,Native,FALSE
Carpiodes cyprinus,03050112,Native,FALSE
Carpiodes cyprinus,03140201,Native,FALSE
Carpiodes cyprinus,03140301,Native,FALSE
Carpiodes cyprinus,03140303,Native,FALSE
Carpiodes cyprinus,03140304,Native,TRUE
Carpiodes cyprinus,03150106,Native,TRUE
Carpiodes cyprinus,03150107,Native,FALSE
Carpiodes cyprinus,03150109,Native,FALSE
Carpiodes cyprinus,03150110,Native,TRUE
Carpiodes cyprinus,03150201,Native,TRUE
Carpiodes cyprinus,03150202,Native,TRUE
