SPECIES,HUC8,ORIGIN,POINTDATA
Catostomus commersonii,03030003,Introduced,TRUE
Catostomus commersonii,03040101,Native,TRUE
Catostomus commersonii,03040102,Native,TRUE
Catostomus commersonii,03040103,Native,TRUE
Catostomus commersonii,03040104,Native,TRUE
Catostomus commersonii,03040105,Native,TRUE
Catostomus commersonii,03050102,Native,TRUE
Catostomus commersonii,06010202,Native,TRUE
Catostomus commersonii,06010203,Native,TRUE
Catostomus commersonii,03050101,Native,TRUE
Catostomus commersonii,06010103,Native,TRUE
Catostomus commersonii,06010105,Native,TRUE
Catostomus commersonii,06010106,Native,TRUE
Catostomus commersonii,06010108,Native,TRUE
Catostomus commersonii,06010204,Native,TRUE
Catostomus commersonii,03010102,Native,TRUE
Catostomus commersonii,03010103,Native,TRUE
Catostomus commersonii,03010104,Native,TRUE
Catostomus commersonii,03010106,Native,TRUE
Catostomus commersonii,03010204,Native,TRUE
Catostomus commersonii,05050001,Native,TRUE
Catostomus commersonii,09010003,Native,TRUE
Catostomus commersonii,09010005,Native,FALSE
Catostomus commersonii,09020109,Native,TRUE
Catostomus commersonii,09020203,Native,TRUE
Catostomus commersonii,09020204,Native,TRUE
Catostomus commersonii,09020205,Native,TRUE
Catostomus commersonii,09020307,Native,TRUE
Catostomus commersonii,09020308,Native,TRUE
Catostomus commersonii,09020310,Native,TRUE
Catostomus commersonii,10110101,Native,TRUE
Catostomus commersonii,10110102,Native,FALSE
Catostomus commersonii,10110205,Native,FALSE
Catostomus commersonii,10130101,Native,TRUE
Catostomus commersonii,10130103,Native,TRUE
Catostomus commersonii,10130104,Native,TRUE
Catostomus commersonii,10130201,Native,TRUE
Catostomus commersonii,10130202,Native,TRUE
Catostomus commersonii,10130203,Native,TRUE
Catostomus commersonii,10130204,Native,TRUE
Catostomus commersonii,10130206,Native,TRUE
Catostomus commersonii,10160001,Native,TRUE
Catostomus commersonii,10160002,Native,TRUE
Catostomus commersonii,09010002,Native,TRUE
Catostomus commersonii,09010004,Native,TRUE
Catostomus commersonii,09010008,Native,TRUE
Catostomus commersonii,09020316,Native,TRUE
Catostomus commersonii,10060007,Native,FALSE
Catostomus commersonii,09020107,Native,TRUE
Catostomus commersonii,10110203,Native,TRUE
Catostomus commersonii,09020105,Native,TRUE
Catostomus commersonii,10130205,Native,TRUE
Catostomus commersonii,10120108,Native,TRUE
Catostomus commersonii,10150003,Native,TRUE
Catostomus commersonii,10150005,Native,TRUE
Catostomus commersonii,10150007,Native,TRUE
Catostomus commersonii,10180013,Native,TRUE
Catostomus commersonii,10180014,Native,TRUE
Catostomus commersonii,10200101,Native,TRUE
Catostomus commersonii,10200102,Native,TRUE
Catostomus commersonii,10200103,Native,TRUE
Catostomus commersonii,10200201,Native,TRUE
Catostomus commersonii,10200202,Native,TRUE
Catostomus commersonii,10200203,Native,TRUE
Catostomus commersonii,10210001,Native,TRUE
Catostomus commersonii,10210002,Native,TRUE
Catostomus commersonii,10210003,Native,TRUE
Catostomus commersonii,10210004,Native,TRUE
Catostomus commersonii,10210005,Native,FALSE
Catostomus commersonii,10210006,Native,TRUE
Catostomus commersonii,10210007,Native,TRUE
Catostomus commersonii,10210008,Native,TRUE
Catostomus commersonii,10210009,Native,TRUE
Catostomus commersonii,10210010,Native,TRUE
Catostomus commersonii,10220001,Native,TRUE
Catostomus commersonii,10220002,Native,FALSE
Catostomus commersonii,10220003,Native,TRUE
Catostomus commersonii,10220004,Native,TRUE
Catostomus commersonii,10240006,Native,FALSE
Catostomus commersonii,10250008,Native,TRUE
Catostomus commersonii,10270201,Native,FALSE
Catostomus commersonii,10270202,Native,FALSE
Catostomus commersonii,10270203,Native,FALSE
Catostomus commersonii,10270204,Native,FALSE
Catostomus commersonii,10190017,Native,FALSE
Catostomus commersonii,10190018,Native,TRUE
Catostomus commersonii,10250006,Native,TRUE
Catostomus commersonii,10240001,Native,TRUE
Catostomus commersonii,10240008,Native,TRUE
Catostomus commersonii,10250004,Native,TRUE
Catostomus commersonii,10250009,Native,TRUE
Catostomus commersonii,10270206,Native,TRUE
Catostomus commersonii,10140101,Native,FALSE
Catostomus commersonii,10140201,Native,TRUE
Catostomus commersonii,10150001,Native,TRUE
Catostomus commersonii,10150004,Native,TRUE
Catostomus commersonii,10150006,Native,TRUE
Catostomus commersonii,10170101,Native,TRUE
Catostomus commersonii,10150002,Native,TRUE
Catostomus commersonii,10180009,Native,TRUE
Catostomus commersonii,01070001,Native,TRUE
Catostomus commersonii,01070002,Native,TRUE
Catostomus commersonii,01070003,Native,TRUE
Catostomus commersonii,01040001,Native,TRUE
Catostomus commersonii,01060002,Native,TRUE
Catostomus commersonii,01060003,Native,TRUE
Catostomus commersonii,01080103,Native,TRUE
Catostomus commersonii,01080104,Native,TRUE
Catostomus commersonii,01080106,Native,TRUE
Catostomus commersonii,01080107,Native,TRUE
Catostomus commersonii,01080101,Native,TRUE
Catostomus commersonii,02030103,Native,TRUE
Catostomus commersonii,02030104,Native,TRUE
Catostomus commersonii,02030105,Native,TRUE
Catostomus commersonii,02040206,Native,TRUE
Catostomus commersonii,02040301,Native,TRUE
Catostomus commersonii,02040302,Native,FALSE
Catostomus commersonii,02020007,Native,TRUE
Catostomus commersonii,02040105,Native,TRUE
Catostomus commersonii,02040201,Native,TRUE
Catostomus commersonii,02040202,Native,TRUE
Catostomus commersonii,11080001,Native,TRUE
Catostomus commersonii,11080002,Native,TRUE
Catostomus commersonii,11080003,Native,TRUE
Catostomus commersonii,11080004,Native,TRUE
Catostomus commersonii,11080005,Native,TRUE
Catostomus commersonii,11080006,Native,FALSE
Catostomus commersonii,11080007,Native,TRUE
Catostomus commersonii,13020101,Introduced,TRUE
Catostomus commersonii,13020102,Introduced,TRUE
Catostomus commersonii,13020201,Introduced,TRUE
Catostomus commersonii,13020203,Introduced,TRUE
Catostomus commersonii,13060001,Native,TRUE
Catostomus commersonii,13060002,Native,TRUE
Catostomus commersonii,13060003,Native,TRUE
Catostomus commersonii,13060007,Native,FALSE
Catostomus commersonii,13060008,Native,TRUE
Catostomus commersonii,13060011,Native,TRUE
Catostomus commersonii,13010005,Introduced,TRUE
Catostomus commersonii,14080101,Introduced,TRUE
Catostomus commersonii,02020001,Native,TRUE
Catostomus commersonii,02020002,Native,TRUE
Catostomus commersonii,02020004,Native,TRUE
Catostomus commersonii,02020005,Native,TRUE
Catostomus commersonii,02020006,Native,TRUE
Catostomus commersonii,02020008,Native,TRUE
Catostomus commersonii,02030102,Native,TRUE
Catostomus commersonii,02040102,Native,TRUE
Catostomus commersonii,02050102,Native,TRUE
Catostomus commersonii,04120102,Native,TRUE
Catostomus commersonii,04120103,Native,TRUE
Catostomus commersonii,04130001,Native,TRUE
Catostomus commersonii,04130003,Native,TRUE
Catostomus commersonii,04140101,Native,TRUE
Catostomus commersonii,04140102,Native,TRUE
Catostomus commersonii,04140201,Native,TRUE
Catostomus commersonii,04140202,Native,TRUE
Catostomus commersonii,04140203,Native,TRUE
Catostomus commersonii,04150101,Native,TRUE
Catostomus commersonii,04150102,Native,TRUE
Catostomus commersonii,04150302,Native,TRUE
Catostomus commersonii,04150303,Native,TRUE
Catostomus commersonii,04150304,Native,TRUE
Catostomus commersonii,04150305,Native,TRUE
Catostomus commersonii,04150306,Native,TRUE
Catostomus commersonii,04150307,Native,TRUE
Catostomus commersonii,04150309,Native,TRUE
