SPECIES,HUC8,ORIGIN,POINTDATA
Catostomus occidentalis,18010102,Native,TRUE
Catostomus occidentalis,18010103,Native,TRUE
Catostomus occidentalis,18010104,Native,TRUE
Catostomus occidentalis,18010105,Native,TRUE
Catostomus occidentalis,18010106,Native,TRUE
Catostomus occidentalis,18010107,Native,FALSE
Catostomus occidentalis,18010108,Native,TRUE
Catostomus occidentalis,18010110,Native,TRUE
Catostomus occidentalis,18020002,Native,TRUE
Catostomus occidentalis,18020003,Native,TRUE
Catostomus occidentalis,18020004,Native,FALSE
Catostomus occidentalis,18020005,Native,TRUE
Catostomus occidentalis,18020104,Native,TRUE
Catostomus occidentalis,18020111,Native,TRUE
Catostomus occidentalis,18020115,Native,TRUE
Catostomus occidentalis,18020116,Native,TRUE
Catostomus occidentalis,18020121,Native,TRUE
Catostomus occidentalis,18020122,Native,TRUE
Catostomus occidentalis,18020123,Native,TRUE
Catostomus occidentalis,18020125,Native,TRUE
Catostomus occidentalis,18020126,Native,FALSE
Catostomus occidentalis,18020128,Native,TRUE
Catostomus occidentalis,18020129,Native,TRUE
Catostomus occidentalis,18020151,Native,FALSE
Catostomus occidentalis,18020152,Native,TRUE
Catostomus occidentalis,18020153,Native,TRUE
Catostomus occidentalis,18020154,Native,TRUE
Catostomus occidentalis,18020155,Native,TRUE
Catostomus occidentalis,18020156,Native,TRUE
Catostomus occidentalis,18020157,Native,TRUE
Catostomus occidentalis,18020158,Native,TRUE
Catostomus occidentalis,18020159,Native,TRUE
Catostomus occidentalis,18020161,Native,FALSE
Catostomus occidentalis,18020162,Native,TRUE
Catostomus occidentalis,18020163,Native,TRUE
Catostomus occidentalis,18030001,Native,TRUE
Catostomus occidentalis,18030002,Native,FALSE
Catostomus occidentalis,18030003,Native,TRUE
Catostomus occidentalis,18030004,Native,TRUE
Catostomus occidentalis,18030005,Native,TRUE
Catostomus occidentalis,18030006,Native,TRUE
Catostomus occidentalis,18030007,Native,TRUE
Catostomus occidentalis,18030009,Native,FALSE
Catostomus occidentalis,18030010,Native,TRUE
Catostomus occidentalis,18030012,Native,TRUE
Catostomus occidentalis,18040001,Native,TRUE
Catostomus occidentalis,18040002,Native,TRUE
Catostomus occidentalis,18040003,Native,TRUE
Catostomus occidentalis,18040006,Native,TRUE
Catostomus occidentalis,18040007,Native,TRUE
Catostomus occidentalis,18040008,Native,TRUE
Catostomus occidentalis,18040009,Native,TRUE
Catostomus occidentalis,18040010,Native,TRUE
Catostomus occidentalis,18040011,Native,TRUE
Catostomus occidentalis,18040012,Native,TRUE
Catostomus occidentalis,18040013,Native,TRUE
Catostomus occidentalis,18040014,Native,FALSE
Catostomus occidentalis,18040051,Native,FALSE
Catostomus occidentalis,18050002,Native,TRUE
Catostomus occidentalis,18050003,Native,TRUE
Catostomus occidentalis,18050004,Native,TRUE
Catostomus occidentalis,18050005,Native,TRUE
Catostomus occidentalis,18050006,Native,FALSE
Catostomus occidentalis,18060002,Native,TRUE
Catostomus occidentalis,18060005,Native,TRUE
Catostomus occidentalis,18060015,Native,TRUE
Catostomus occidentalis,18050001,Native,TRUE
Catostomus occidentalis,18060004,Native,FALSE
Catostomus occidentalis,18020001,Native,TRUE
