Species,HUC8,Origin,PointData
Clinostomus elongatus,02020004,Native,True
Clinostomus elongatus,02020005,Native,True
Clinostomus elongatus,02050102,Native,True
Clinostomus elongatus,04120102,Native,True
Clinostomus elongatus,04120103,Native,True
Clinostomus elongatus,04130001,Native,True
Clinostomus elongatus,04130003,Native,True
Clinostomus elongatus,04140101,Native,False
Clinostomus elongatus,04140102,Native,True
Clinostomus elongatus,04140201,Native,True
Clinostomus elongatus,04140202,Native,True
Clinostomus elongatus,04140203,Native,False
Clinostomus elongatus,04150101,Native,True
Clinostomus elongatus,04150102,Native,False
Clinostomus elongatus,04150302,Native,False
Clinostomus elongatus,04150303,Native,True
Clinostomus elongatus,04100009,Native,False
Clinostomus elongatus,04100012,Native,True
Clinostomus elongatus,04110001,Native,True
Clinostomus elongatus,04110002,Native,True
Clinostomus elongatus,04110003,Native,True
Clinostomus elongatus,04110004,Native,True
Clinostomus elongatus,05030103,Native,True
Clinostomus elongatus,05030204,Native,True
Clinostomus elongatus,05040001,Native,True
Clinostomus elongatus,05040002,Native,True
Clinostomus elongatus,05040003,Native,True
Clinostomus elongatus,05040004,Native,True
Clinostomus elongatus,05040005,Native,True
Clinostomus elongatus,05040006,Native,True
Clinostomus elongatus,05060002,Native,True
Clinostomus elongatus,05060003,Native,False
Clinostomus elongatus,05090202,Native,False
Clinostomus elongatus,05080001,Native,True
Clinostomus elongatus,05080002,Native,True
Clinostomus elongatus,04100001,Native,False
Clinostomus elongatus,04100006,Native,True
Clinostomus elongatus,04120101,Native,True
Clinostomus elongatus,02050106,Native,True
Clinostomus elongatus,02050107,Native,False
Clinostomus elongatus,02050201,Native,True
Clinostomus elongatus,02050202,Native,False
Clinostomus elongatus,02050203,Native,True
Clinostomus elongatus,02050204,Native,False
Clinostomus elongatus,02050205,Native,True
Clinostomus elongatus,02050206,Native,False
Clinostomus elongatus,05010003,Native,True
Clinostomus elongatus,05010004,Native,True
Clinostomus elongatus,05010005,Native,True
Clinostomus elongatus,05010006,Native,True
Clinostomus elongatus,05010007,Native,True
Clinostomus elongatus,05010008,Native,True
Clinostomus elongatus,05010009,Native,True
Clinostomus elongatus,05030104,Native,True
Clinostomus elongatus,05030105,Native,True
Clinostomus elongatus,02050101,Native,True
Clinostomus elongatus,02050103,Native,True
Clinostomus elongatus,02050104,Native,True
Clinostomus elongatus,02050105,Native,True
Clinostomus elongatus,04130002,Native,True
Clinostomus elongatus,05010001,Native,True
Clinostomus elongatus,05010002,Native,True
Clinostomus elongatus,05030102,Native,True
Clinostomus elongatus,05020005,Native,True
Clinostomus elongatus,05030101,Native,True
Clinostomus elongatus,05030106,Native,True
Clinostomus elongatus,07070006,Native,True
Clinostomus elongatus,05020001,Native,False
Clinostomus elongatus,07060001,Native,False
Clinostomus elongatus,04030101,Native,True
Clinostomus elongatus,04030102,Native,True
Clinostomus elongatus,04030103,Native,False
Clinostomus elongatus,04030201,Native,False
Clinostomus elongatus,04030202,Native,False
Clinostomus elongatus,04030203,Native,False
Clinostomus elongatus,04030204,Native,True
Clinostomus elongatus,04040003,Native,True
Clinostomus elongatus,07040005,Native,False
Clinostomus elongatus,07040007,Native,True
Clinostomus elongatus,07050004,Native,True
Clinostomus elongatus,07050005,Native,True
Clinostomus elongatus,07050006,Native,True
Clinostomus elongatus,07050007,Native,False
Clinostomus elongatus,07070002,Native,True
Clinostomus elongatus,07070003,Native,True
Clinostomus elongatus,07070004,Native,True
Clinostomus elongatus,07070005,Native,True
Clinostomus elongatus,07090002,Native,False
Clinostomus elongatus,05020002,Native,False
Clinostomus elongatus,05030201,Native,True
Clinostomus elongatus,05030202,Native,False
Clinostomus elongatus,05090101,Native,True
Clinostomus elongatus,05020003,Native,True
Clinostomus elongatus,05020004,Native,True
Clinostomus elongatus,07060003,Native,True
Clinostomus elongatus,04040002,Native,False
Clinostomus elongatus,07090003,Native,True
Clinostomus elongatus,07090004,Native,True
Clinostomus elongatus,05080003,Native,True
Clinostomus elongatus,05090203,Native,False
Clinostomus elongatus,05100101,Native,True
Clinostomus elongatus,05100204,Native,True
Clinostomus elongatus,05100205,Native,False
Clinostomus elongatus,05090103,Native,False
Clinostomus elongatus,05090201,Native,False
Clinostomus elongatus,05020006,Native,True
Clinostomus elongatus,04090004,Native,True
Clinostomus elongatus,04090005,Native,False
Clinostomus elongatus,04100002,Native,False
Clinostomus elongatus,07040002,Native,True
Clinostomus elongatus,07040004,Native,True
Clinostomus elongatus,07040008,Native,True
Clinostomus elongatus,07040001,Native,True
Clinostomus elongatus,07040003,Native,False
Clinostomus elongatus,07040006,Native,False
Clinostomus elongatus,04120104,Native,True
Clinostomus elongatus,07050001,Native,False
Clinostomus elongatus,07050002,Native,False
Clinostomus elongatus,07070001,Native,True
Clinostomus elongatus,04020101,Native,True
Clinostomus elongatus,04020102,Native,False
Clinostomus elongatus,04020201,Introduced,True
Clinostomus elongatus,04010302,Native,True
Clinostomus elongatus,05060001,Native,True
