SPECIES,HUC8,ORIGIN,POINTDATA
Culaea inconstans,09010003,Native,FALSE
Culaea inconstans,09010005,Native,FALSE
Culaea inconstans,09020109,Native,FALSE
Culaea inconstans,09020201,Native,TRUE
Culaea inconstans,09020202,Native,FALSE
Culaea inconstans,09020203,Native,TRUE
Culaea inconstans,09020204,Native,TRUE
Culaea inconstans,09020205,Native,FALSE
Culaea inconstans,09020307,Native,FALSE
Culaea inconstans,09020308,Native,FALSE
Culaea inconstans,09020310,Native,FALSE
Culaea inconstans,10110101,Native,FALSE
Culaea inconstans,10110102,Native,FALSE
Culaea inconstans,10110205,Native,FALSE
Culaea inconstans,10130101,Native,TRUE
Culaea inconstans,10130103,Native,FALSE
Culaea inconstans,10130104,Native,FALSE
Culaea inconstans,10130201,Native,TRUE
Culaea inconstans,10130202,Native,TRUE
Culaea inconstans,10130203,Native,TRUE
Culaea inconstans,10130204,Native,FALSE
Culaea inconstans,10130206,Native,FALSE
Culaea inconstans,10160001,Native,TRUE
Culaea inconstans,10160002,Native,FALSE
Culaea inconstans,09010002,Native,TRUE
Culaea inconstans,09010004,Native,TRUE
Culaea inconstans,09010007,Native,FALSE
Culaea inconstans,09010008,Native,FALSE
Culaea inconstans,09020316,Native,TRUE
Culaea inconstans,10060007,Native,FALSE
Culaea inconstans,09020107,Native,TRUE
Culaea inconstans,10110203,Native,FALSE
Culaea inconstans,09020105,Native,TRUE
Culaea inconstans,10150003,Native,TRUE
Culaea inconstans,10150007,Native,TRUE
Culaea inconstans,10180014,Native,TRUE
Culaea inconstans,10200101,Native,TRUE
Culaea inconstans,10200102,Native,FALSE
Culaea inconstans,10200103,Native,TRUE
Culaea inconstans,10200201,Native,FALSE
Culaea inconstans,10200202,Native,FALSE
Culaea inconstans,10210004,Native,TRUE
Culaea inconstans,10210006,Native,TRUE
Culaea inconstans,10210007,Native,FALSE
Culaea inconstans,10210008,Native,FALSE
Culaea inconstans,10210009,Native,TRUE
Culaea inconstans,10190018,Native,TRUE
Culaea inconstans,10240001,Native,FALSE
Culaea inconstans,10140101,Native,FALSE
Culaea inconstans,10150001,Native,FALSE
Culaea inconstans,10150004,Native,TRUE
Culaea inconstans,10150006,Native,FALSE
Culaea inconstans,10170101,Native,TRUE
Culaea inconstans,10180009,Native,TRUE
Culaea inconstans,02020001,Native,FALSE
Culaea inconstans,02020002,Native,FALSE
Culaea inconstans,02020004,Native,TRUE
Culaea inconstans,02020005,Native,TRUE
Culaea inconstans,02020006,Native,FALSE
Culaea inconstans,02050102,Native,TRUE
Culaea inconstans,04120102,Native,FALSE
Culaea inconstans,04120103,Native,FALSE
Culaea inconstans,04130001,Native,TRUE
Culaea inconstans,04130003,Native,TRUE
Culaea inconstans,04140101,Native,TRUE
Culaea inconstans,04140102,Native,TRUE
Culaea inconstans,04140201,Native,TRUE
Culaea inconstans,04140202,Native,TRUE
Culaea inconstans,04140203,Native,TRUE
Culaea inconstans,04150101,Native,TRUE
Culaea inconstans,04150102,Native,FALSE
Culaea inconstans,04150302,Native,FALSE
Culaea inconstans,04150303,Native,TRUE
Culaea inconstans,04150304,Native,TRUE
Culaea inconstans,04150305,Native,TRUE
Culaea inconstans,04150306,Native,TRUE
Culaea inconstans,04150307,Native,TRUE
Culaea inconstans,04150404,Native,FALSE
Culaea inconstans,04150406,Native,TRUE
Culaea inconstans,04150308,Native,TRUE
Culaea inconstans,04150401,Native,FALSE
Culaea inconstans,04150408,Native,TRUE
Culaea inconstans,04100010,Native,FALSE
Culaea inconstans,04100011,Native,TRUE
Culaea inconstans,04100012,Native,TRUE
Culaea inconstans,04110001,Native,TRUE
Culaea inconstans,04110002,Native,TRUE
Culaea inconstans,04110003,Native,TRUE
Culaea inconstans,04110004,Native,FALSE
Culaea inconstans,05030103,Native,TRUE
Culaea inconstans,05040001,Native,TRUE
Culaea inconstans,05040002,Native,TRUE
Culaea inconstans,05040003,Native,TRUE
Culaea inconstans,05040004,Native,FALSE
Culaea inconstans,05040005,Native,FALSE
Culaea inconstans,05040006,Native,TRUE
Culaea inconstans,05090202,Native,TRUE
Culaea inconstans,05080001,Native,TRUE
Culaea inconstans,05120101,Native,FALSE
Culaea inconstans,04100001,Native,TRUE
Culaea inconstans,04120101,Native,TRUE
Culaea inconstans,05010003,Native,FALSE
Culaea inconstans,05010004,Native,TRUE
Culaea inconstans,05010005,Native,FALSE
Culaea inconstans,05010006,Native,FALSE
Culaea inconstans,05010009,Native,FALSE
Culaea inconstans,05030104,Native,FALSE
Culaea inconstans,05030105,Native,FALSE
Culaea inconstans,02050105,Native,TRUE
Culaea inconstans,04130002,Native,TRUE
Culaea inconstans,05010001,Native,TRUE
Culaea inconstans,05010002,Native,TRUE
Culaea inconstans,05030102,Native,TRUE
Culaea inconstans,05030101,Native,TRUE
Culaea inconstans,05030106,Native,FALSE
Culaea inconstans,10130105,Native,FALSE
Culaea inconstans,10140103,Native,FALSE
Culaea inconstans,10140104,Native,FALSE
Culaea inconstans,10140105,Native,FALSE
Culaea inconstans,10140204,Native,FALSE
Culaea inconstans,10160005,Native,FALSE
Culaea inconstans,10160006,Native,FALSE
Culaea inconstans,10160007,Native,FALSE
Culaea inconstans,10160008,Native,FALSE
Culaea inconstans,10160009,Native,FALSE
Culaea inconstans,10160011,Native,FALSE
Culaea inconstans,10170102,Native,FALSE
Culaea inconstans,10170103,Native,FALSE
Culaea inconstans,10170201,Native,TRUE
Culaea inconstans,10170202,Native,TRUE
Culaea inconstans,07020003,Native,TRUE
Culaea inconstans,09020101,Native,TRUE
Culaea inconstans,10130102,Native,TRUE
Culaea inconstans,10130106,Native,FALSE
Culaea inconstans,10160003,Native,FALSE
Culaea inconstans,10160004,Native,FALSE
Culaea inconstans,07070006,Native,TRUE
Culaea inconstans,07060001,Native,TRUE
Culaea inconstans,07090005,Native,TRUE
Culaea inconstans,07010104,Native,TRUE
Culaea inconstans,04120200,Native,FALSE
Culaea inconstans,09020315,Native,TRUE
Culaea inconstans,04150200,Native,TRUE
Culaea inconstans,04030101,Native,TRUE
Culaea inconstans,04030102,Native,TRUE
Culaea inconstans,04030103,Native,TRUE
Culaea inconstans,04030104,Native,TRUE
Culaea inconstans,04030105,Native,TRUE
Culaea inconstans,04030201,Native,TRUE
Culaea inconstans,04030202,Native,TRUE
Culaea inconstans,04030203,Native,FALSE
Culaea inconstans,04030204,Native,TRUE
Culaea inconstans,04040003,Native,TRUE
Culaea inconstans,07040005,Native,TRUE
Culaea inconstans,07040007,Native,TRUE
Culaea inconstans,07050003,Native,TRUE
Culaea inconstans,07050004,Native,TRUE
Culaea inconstans,07050005,Native,TRUE
Culaea inconstans,07050006,Native,TRUE
Culaea inconstans,07050007,Native,TRUE
Culaea inconstans,07070002,Native,TRUE
Culaea inconstans,07070003,Native,TRUE
Culaea inconstans,07070004,Native,TRUE
Culaea inconstans,07070005,Native,TRUE
Culaea inconstans,07090001,Native,TRUE
Culaea inconstans,07090002,Native,TRUE
Culaea inconstans,07030005,Native,TRUE
Culaea inconstans,10190016,Native,TRUE
Culaea inconstans,05030201,Native,TRUE
Culaea inconstans,10110201,Native,TRUE
Culaea inconstans,07060002,Native,TRUE
Culaea inconstans,07060004,Native,TRUE
Culaea inconstans,07060006,Native,TRUE
Culaea inconstans,07080102,Native,TRUE
Culaea inconstans,07080203,Native,TRUE
Culaea inconstans,07080204,Native,TRUE
Culaea inconstans,07080205,Native,TRUE
Culaea inconstans,07080206,Native,FALSE
Culaea inconstans,07080207,Native,TRUE
Culaea inconstans,07100002,Native,TRUE
Culaea inconstans,07100003,Native,TRUE
Culaea inconstans,07100004,Native,TRUE
Culaea inconstans,07100005,Native,TRUE
Culaea inconstans,07100006,Native,TRUE
Culaea inconstans,10230002,Native,TRUE
Culaea inconstans,10230003,Native,TRUE
Culaea inconstans,10230004,Native,FALSE
Culaea inconstans,10230005,Native,FALSE
Culaea inconstans,10230007,Native,FALSE
Culaea inconstans,07060005,Native,TRUE
Culaea inconstans,07020009,Native,TRUE
Culaea inconstans,07080201,Native,TRUE
Culaea inconstans,07080202,Native,TRUE
Culaea inconstans,10170204,Native,TRUE
Culaea inconstans,10230001,Native,TRUE
Culaea inconstans,10230006,Native,FALSE
Culaea inconstans,10170203,Native,TRUE
Culaea inconstans,07060003,Native,TRUE
Culaea inconstans,07090006,Native,TRUE
Culaea inconstans,07120005,Native,TRUE
Culaea inconstans,07120007,Native,TRUE
Culaea inconstans,07120003,Native,TRUE
Culaea inconstans,04040002,Native,TRUE
Culaea inconstans,07090003,Native,TRUE
Culaea inconstans,07090004,Native,TRUE
Culaea inconstans,07120004,Native,TRUE
Culaea inconstans,07120006,Native,TRUE
Culaea inconstans,04040001,Native,TRUE
Culaea inconstans,05080003,Native,FALSE
Culaea inconstans,05120104,Native,FALSE
Culaea inconstans,05120105,Native,FALSE
Culaea inconstans,05120106,Native,FALSE
Culaea inconstans,05120201,Native,FALSE
Culaea inconstans,05120204,Native,FALSE
Culaea inconstans,05120205,Native,FALSE
Culaea inconstans,05120206,Native,FALSE
Culaea inconstans,07120001,Native,TRUE
Culaea inconstans,04050001,Native,TRUE
Culaea inconstans,02020003,Native,FALSE
Culaea inconstans,04030109,Native,TRUE
Culaea inconstans,04050002,Native,FALSE
Culaea inconstans,04050003,Native,TRUE
Culaea inconstans,04050004,Native,TRUE
Culaea inconstans,04050005,Native,TRUE
Culaea inconstans,04050006,Native,FALSE
Culaea inconstans,04050007,Native,TRUE
Culaea inconstans,04060101,Native,TRUE
Culaea inconstans,04060104,Native,TRUE
Culaea inconstans,04080202,Native,TRUE
Culaea inconstans,04090004,Native,FALSE
Culaea inconstans,04090005,Native,TRUE
Culaea inconstans,04100002,Native,FALSE
Culaea inconstans,04030108,Native,TRUE
Culaea inconstans,07010102,Native,TRUE
Culaea inconstans,07010105,Native,TRUE
Culaea inconstans,07010106,Native,TRUE
Culaea inconstans,07010107,Native,TRUE
Culaea inconstans,07010108,Native,TRUE
Culaea inconstans,07010201,Native,TRUE
Culaea inconstans,07010202,Native,TRUE
Culaea inconstans,07010203,Native,TRUE
Culaea inconstans,07010204,Native,TRUE
Culaea inconstans,07010205,Native,TRUE
Culaea inconstans,07010206,Native,TRUE
Culaea inconstans,07010207,Native,TRUE
Culaea inconstans,07020002,Native,TRUE
Culaea inconstans,07020004,Native,TRUE
Culaea inconstans,07020005,Native,TRUE
Culaea inconstans,07020006,Native,TRUE
Culaea inconstans,07020007,Native,TRUE
Culaea inconstans,07020008,Native,TRUE
Culaea inconstans,07020010,Native,TRUE
Culaea inconstans,07020011,Native,TRUE
Culaea inconstans,07020012,Native,TRUE
Culaea inconstans,07030004,Native,TRUE
Culaea inconstans,07040002,Native,TRUE
Culaea inconstans,07040004,Native,TRUE
Culaea inconstans,07040008,Native,TRUE
Culaea inconstans,07100001,Native,TRUE
Culaea inconstans,09020102,Native,FALSE
Culaea inconstans,09020103,Native,TRUE
Culaea inconstans,09020106,Native,TRUE
Culaea inconstans,09020108,Native,TRUE
Culaea inconstans,09020303,Native,TRUE
Culaea inconstans,09020305,Native,TRUE
Culaea inconstans,09020306,Native,FALSE
Culaea inconstans,09020309,Native,TRUE
Culaea inconstans,09020312,Native,TRUE
Culaea inconstans,09020104,Native,TRUE
Culaea inconstans,09020301,Native,TRUE
Culaea inconstans,09020311,Native,TRUE
Culaea inconstans,07020001,Native,TRUE
Culaea inconstans,07040001,Native,TRUE
Culaea inconstans,07040003,Native,TRUE
Culaea inconstans,07040006,Native,TRUE
Culaea inconstans,10040104,Native,FALSE
Culaea inconstans,10050002,Native,FALSE
Culaea inconstans,10050004,Native,FALSE
Culaea inconstans,10050005,Native,FALSE
Culaea inconstans,10050006,Native,FALSE
Culaea inconstans,10050009,Native,FALSE
Culaea inconstans,10050010,Native,FALSE
Culaea inconstans,10050011,Native,FALSE
Culaea inconstans,10050012,Native,FALSE
Culaea inconstans,10050013,Native,FALSE
Culaea inconstans,10050014,Native,FALSE
Culaea inconstans,10050015,Native,FALSE
Culaea inconstans,10050016,Native,FALSE
Culaea inconstans,10060001,Native,FALSE
Culaea inconstans,10060002,Native,FALSE
Culaea inconstans,10060003,Native,FALSE
Culaea inconstans,10060004,Native,FALSE
Culaea inconstans,10060005,Native,FALSE
Culaea inconstans,10060006,Native,TRUE
Culaea inconstans,10100004,Native,TRUE
Culaea inconstans,10110204,Native,TRUE
Culaea inconstans,04120104,Native,TRUE
Culaea inconstans,09020314,Native,TRUE
Culaea inconstans,09020302,Native,TRUE
Culaea inconstans,09020304,Native,TRUE
Culaea inconstans,07010101,Native,TRUE
Culaea inconstans,09030011,Native,FALSE
Culaea inconstans,09030006,Native,TRUE
Culaea inconstans,09030007,Native,TRUE
Culaea inconstans,09030008,Native,TRUE
Culaea inconstans,09030010,Native,FALSE
Culaea inconstans,09030003,Native,TRUE
Culaea inconstans,09030009,Native,TRUE
Culaea inconstans,04030107,Native,TRUE
Culaea inconstans,04030110,Native,TRUE
Culaea inconstans,04030111,Native,TRUE
Culaea inconstans,04030112,Native,TRUE
Culaea inconstans,04060102,Native,TRUE
Culaea inconstans,04060103,Native,TRUE
Culaea inconstans,04060106,Native,TRUE
Culaea inconstans,04060107,Native,TRUE
Culaea inconstans,04080201,Native,TRUE
Culaea inconstans,04080203,Native,TRUE
Culaea inconstans,04080204,Native,TRUE
