SPECIES,HUC8,ORIGIN,POINTDATA
Cycleptus elongatus,06010108,Native,TRUE
Cycleptus elongatus,06010204,Native,FALSE
Cycleptus elongatus,10110101,Native,FALSE
Cycleptus elongatus,10130101,Native,FALSE
Cycleptus elongatus,10200201,Native,FALSE
Cycleptus elongatus,10200202,Native,FALSE
Cycleptus elongatus,10240001,Native,TRUE
Cycleptus elongatus,10140101,Native,FALSE
Cycleptus elongatus,10170101,Native,TRUE
Cycleptus elongatus,13060011,Native,FALSE
Cycleptus elongatus,13030102,Native,FALSE
Cycleptus elongatus,05040004,Native,TRUE
Cycleptus elongatus,05060002,Native,TRUE
Cycleptus elongatus,05090202,Native,TRUE
Cycleptus elongatus,05080002,Native,TRUE
Cycleptus elongatus,11070209,Native,FALSE
Cycleptus elongatus,11110102,Native,FALSE
Cycleptus elongatus,11130304,Native,FALSE
Cycleptus elongatus,11140103,Native,TRUE
Cycleptus elongatus,11110104,Native,FALSE
Cycleptus elongatus,11130102,Native,FALSE
Cycleptus elongatus,11130201,Native,FALSE
Cycleptus elongatus,05010006,Native,FALSE
Cycleptus elongatus,05010009,Native,FALSE
Cycleptus elongatus,05030101,Native,FALSE
Cycleptus elongatus,05030106,Native,FALSE
Cycleptus elongatus,06030002,Native,FALSE
Cycleptus elongatus,06030006,Native,FALSE
Cycleptus elongatus,06030005,Native,FALSE
Cycleptus elongatus,06030001,Native,FALSE
Cycleptus elongatus,10130105,Native,FALSE
Cycleptus elongatus,10170102,Native,TRUE
Cycleptus elongatus,10130102,Native,FALSE
Cycleptus elongatus,05130106,Native,FALSE
Cycleptus elongatus,05130201,Native,FALSE
Cycleptus elongatus,05130202,Native,FALSE
Cycleptus elongatus,06010104,Native,FALSE
Cycleptus elongatus,06010107,Native,FALSE
Cycleptus elongatus,06010201,Native,TRUE
Cycleptus elongatus,06010207,Native,TRUE
Cycleptus elongatus,06010208,Native,FALSE
Cycleptus elongatus,06040001,Native,FALSE
Cycleptus elongatus,06040003,Native,TRUE
Cycleptus elongatus,05130205,Native,TRUE
Cycleptus elongatus,06040005,Native,FALSE
Cycleptus elongatus,08010208,Native,TRUE
Cycleptus elongatus,06010205,Native,FALSE
Cycleptus elongatus,06010206,Native,FALSE
Cycleptus elongatus,08020301,Native,FALSE
Cycleptus elongatus,08020302,Native,FALSE
Cycleptus elongatus,08020303,Native,TRUE
Cycleptus elongatus,08020304,Native,FALSE
Cycleptus elongatus,08020401,Native,FALSE
Cycleptus elongatus,11010004,Native,FALSE
Cycleptus elongatus,11010009,Native,FALSE
Cycleptus elongatus,11010010,Native,FALSE
Cycleptus elongatus,11010013,Native,FALSE
Cycleptus elongatus,11010014,Native,FALSE
Cycleptus elongatus,11110201,Native,FALSE
Cycleptus elongatus,11110202,Native,FALSE
Cycleptus elongatus,11110203,Native,FALSE
Cycleptus elongatus,11110207,Native,TRUE
Cycleptus elongatus,11140109,Native,FALSE
Cycleptus elongatus,11140201,Native,TRUE
Cycleptus elongatus,08020203,Native,FALSE
Cycleptus elongatus,11010007,Native,FALSE
Cycleptus elongatus,11140108,Native,TRUE
Cycleptus elongatus,11070206,Native,FALSE
Cycleptus elongatus,08010100,Native,TRUE
Cycleptus elongatus,11130103,Native,FALSE
Cycleptus elongatus,11130104,Native,FALSE
Cycleptus elongatus,11130105,Native,FALSE
Cycleptus elongatus,11130204,Native,FALSE
Cycleptus elongatus,11130205,Native,FALSE
Cycleptus elongatus,11130206,Native,FALSE
Cycleptus elongatus,11130207,Native,FALSE
Cycleptus elongatus,11130209,Native,FALSE
Cycleptus elongatus,11140106,Native,TRUE
Cycleptus elongatus,11140301,Native,FALSE
Cycleptus elongatus,11140303,Native,FALSE
Cycleptus elongatus,11140305,Native,FALSE
Cycleptus elongatus,11140306,Native,FALSE
Cycleptus elongatus,11140307,Native,FALSE
Cycleptus elongatus,12010001,Native,FALSE
Cycleptus elongatus,12010002,Native,TRUE
Cycleptus elongatus,12010003,Native,FALSE
Cycleptus elongatus,12020001,Native,FALSE
Cycleptus elongatus,12020002,Native,FALSE
Cycleptus elongatus,12020003,Native,TRUE
Cycleptus elongatus,12020004,Native,FALSE
Cycleptus elongatus,12020005,Native,FALSE
Cycleptus elongatus,12020006,Native,FALSE
Cycleptus elongatus,12020007,Native,FALSE
Cycleptus elongatus,12030101,Native,FALSE
Cycleptus elongatus,12030102,Native,FALSE
Cycleptus elongatus,12030103,Native,FALSE
Cycleptus elongatus,12030104,Native,FALSE
Cycleptus elongatus,12030105,Native,FALSE
Cycleptus elongatus,12030106,Native,FALSE
Cycleptus elongatus,12030107,Native,FALSE
Cycleptus elongatus,12030108,Native,FALSE
Cycleptus elongatus,12030109,Native,FALSE
Cycleptus elongatus,12030201,Native,FALSE
Cycleptus elongatus,12030202,Native,FALSE
Cycleptus elongatus,12030203,Native,FALSE
Cycleptus elongatus,12040101,Native,FALSE
Cycleptus elongatus,12040102,Native,FALSE
Cycleptus elongatus,12040103,Native,FALSE
Cycleptus elongatus,12040104,Native,FALSE
Cycleptus elongatus,12060101,Native,FALSE
