SPECIES,HUC8,ORIGIN,POINTDATA
Cycleptus meridionalis,03150107,Native,TRUE
Cycleptus meridionalis,03150109,Native,FALSE
Cycleptus meridionalis,03150110,Native,FALSE
Cycleptus meridionalis,03150201,Native,FALSE
Cycleptus meridionalis,03150202,Native,TRUE
Cycleptus meridionalis,03150203,Native,FALSE
Cycleptus meridionalis,03150204,Native,FALSE
Cycleptus meridionalis,03160201,Native,FALSE
Cycleptus meridionalis,03160203,Native,FALSE
Cycleptus meridionalis,03160204,Native,TRUE
Cycleptus meridionalis,03160106,Native,TRUE
Cycleptus meridionalis,03170005,Native,FALSE
Cycleptus meridionalis,03180005,Native,FALSE
Cycleptus meridionalis,03170004,Native,FALSE
Cycleptus meridionalis,03170006,Native,TRUE
Cycleptus meridionalis,03170007,Native,FALSE
Cycleptus meridionalis,03180002,Native,TRUE
Cycleptus meridionalis,03180003,Native,TRUE
Cycleptus meridionalis,03160101,Native,TRUE
Cycleptus meridionalis,03170003,Native,FALSE
Cycleptus meridionalis,03180004,Native,TRUE
