Species,HUC8,Origin,PointData
Cyprinella lutrensis,03040101,Introduced,True
Cyprinella lutrensis,03040102,Introduced,True
Cyprinella lutrensis,03040103,Introduced,True
Cyprinella lutrensis,03040104,Introduced,True
Cyprinella lutrensis,03040105,Introduced,True
Cyprinella lutrensis,03010103,Introduced,True
Cyprinella lutrensis,03010104,Introduced,True
Cyprinella lutrensis,10120108,Native,False
Cyprinella lutrensis,10150003,Native,True
Cyprinella lutrensis,10150005,Native,True
Cyprinella lutrensis,10150007,Native,True
Cyprinella lutrensis,10180014,Native,True
Cyprinella lutrensis,10200101,Native,True
Cyprinella lutrensis,10200102,Native,True
Cyprinella lutrensis,10200103,Native,True
Cyprinella lutrensis,10200201,Native,True
Cyprinella lutrensis,10200202,Native,True
Cyprinella lutrensis,10200203,Native,True
Cyprinella lutrensis,10210001,Native,True
Cyprinella lutrensis,10210002,Native,True
Cyprinella lutrensis,10210003,Native,True
Cyprinella lutrensis,10210004,Native,True
Cyprinella lutrensis,10210005,Native,True
Cyprinella lutrensis,10210006,Native,True
Cyprinella lutrensis,10210007,Native,True
Cyprinella lutrensis,10210008,Native,True
Cyprinella lutrensis,10210009,Native,True
Cyprinella lutrensis,10210010,Native,True
Cyprinella lutrensis,10220001,Native,True
Cyprinella lutrensis,10220002,Native,True
Cyprinella lutrensis,10220003,Native,True
Cyprinella lutrensis,10220004,Native,True
Cyprinella lutrensis,10240006,Native,True
Cyprinella lutrensis,10250008,Native,True
Cyprinella lutrensis,10270201,Native,True
Cyprinella lutrensis,10270202,Native,True
Cyprinella lutrensis,10270203,Native,True
Cyprinella lutrensis,10270204,Native,True
Cyprinella lutrensis,10190018,Native,True
Cyprinella lutrensis,10250006,Native,True
Cyprinella lutrensis,10240001,Native,True
Cyprinella lutrensis,10240008,Native,True
Cyprinella lutrensis,10250004,Native,True
Cyprinella lutrensis,10250009,Native,True
Cyprinella lutrensis,10270206,Native,True
Cyprinella lutrensis,10140101,Native,True
Cyprinella lutrensis,10140201,Native,True
Cyprinella lutrensis,10150001,Native,True
Cyprinella lutrensis,10150004,Native,True
Cyprinella lutrensis,10150006,Native,True
Cyprinella lutrensis,10170101,Native,True
Cyprinella lutrensis,10180009,Native,True
Cyprinella lutrensis,11080001,Native,True
Cyprinella lutrensis,11080002,Native,True
Cyprinella lutrensis,11080003,Native,True
Cyprinella lutrensis,11080004,Native,True
Cyprinella lutrensis,11080005,Native,True
Cyprinella lutrensis,11080006,Native,True
Cyprinella lutrensis,11080007,Native,True
Cyprinella lutrensis,13020101,Native,True
Cyprinella lutrensis,13020201,Native,True
Cyprinella lutrensis,13020202,Native,True
Cyprinella lutrensis,13020203,Native,True
Cyprinella lutrensis,13020204,Native,False
Cyprinella lutrensis,13020211,Native,True
Cyprinella lutrensis,13030101,Native,True
Cyprinella lutrensis,13030103,Native,False
Cyprinella lutrensis,13060001,Native,True
Cyprinella lutrensis,13060003,Native,True
Cyprinella lutrensis,13060004,Native,False
Cyprinella lutrensis,13060005,Native,True
Cyprinella lutrensis,13060007,Native,True
Cyprinella lutrensis,13060008,Native,True
Cyprinella lutrensis,13060009,Native,True
Cyprinella lutrensis,13060011,Native,True
Cyprinella lutrensis,14080106,Introduced,True
Cyprinella lutrensis,15040002,Introduced,True
Cyprinella lutrensis,11040001,Native,True
Cyprinella lutrensis,13010005,Native,True
Cyprinella lutrensis,14080101,Introduced,True
Cyprinella lutrensis,11090101,Native,False
Cyprinella lutrensis,13030102,Native,True
Cyprinella lutrensis,15010010,Introduced,True
Cyprinella lutrensis,11050001,Native,True
Cyprinella lutrensis,11050003,Native,True
Cyprinella lutrensis,11060006,Native,True
Cyprinella lutrensis,11070105,Native,True
Cyprinella lutrensis,11070107,Native,True
Cyprinella lutrensis,11070209,Native,True
Cyprinella lutrensis,11090201,Native,True
Cyprinella lutrensis,11090202,Native,True
Cyprinella lutrensis,11090203,Native,True
Cyprinella lutrensis,11090204,Native,True
Cyprinella lutrensis,11100102,Native,True
Cyprinella lutrensis,11100301,Native,True
Cyprinella lutrensis,11100302,Native,True
Cyprinella lutrensis,11100303,Native,True
Cyprinella lutrensis,11110101,Native,True
Cyprinella lutrensis,11110102,Native,True
Cyprinella lutrensis,11120303,Native,True
Cyprinella lutrensis,11130202,Native,True
Cyprinella lutrensis,11130203,Native,True
Cyprinella lutrensis,11130208,Native,True
Cyprinella lutrensis,11130302,Native,True
Cyprinella lutrensis,11130303,Native,True
Cyprinella lutrensis,11130304,Native,True
Cyprinella lutrensis,11140102,Native,True
Cyprinella lutrensis,11140103,Native,True
Cyprinella lutrensis,11140104,Native,True
