"Species","Lake","Year","Length_cm","Weight_g","Age_years"
"Smallmouth Bass","Erie",2023,47,1299,6
"Whitefish","Ontario",2023,51.1,2118,2
"Whitefish","Michigan",2023,32.5,910,6
"Walleye","Erie",2023,48.3,965,5
"Smallmouth Bass","Ontario",2023,53.7,1079,4
"Smallmouth Bass","Huron",2023,65.6,811,8
"Yellow Perch","Erie",2023,64.6,1520,7
"Lake Trout","Superior",2023,61.2,805,6
"Yellow Perch","Michigan",2023,65.6,824,6
"Smallmouth Bass","Michigan",2023,17.5,1923,8
"Smallmouth Bass","Superior",2023,32.9,1649,1
"Walleye","Erie",2023,61.2,1366,3
"Lake Trout","Huron",2023,39.4,1257,6
"Lake Trout","Ontario",2023,43.5,1129,1
"Smallmouth Bass","Ontario",2023,45.1,1066,6
"Whitefish","Huron",2023,43.9,2082,4
"Whitefish","Michigan",2023,34.7,578,8
"Lake Trout","Ontario",2023,56.5,2552,2
"Smallmouth Bass","Erie",2023,59.7,1206,7
"Walleye","Erie",2023,39.9,959,2
"Lake Trout","Michigan",2023,60.4,813,2
"Whitefish","Ontario",2023,48.3,1138,6
"Walleye","Erie",2023,42.2,852,9
"Smallmouth Bass","Huron",2023,74.5,1773,2
"Northern Pike","Erie",2023,64.8,925,4
"Lake Trout","Superior",2023,74.5,50,2
"Walleye","Superior",2023,40.6,1747,3
"Whitefish","Superior",2023,21.2,381,2
"Yellow Perch","Superior",2023,30,163,5
"Northern Pike","Ontario",2023,37.1,1376,4
