Species,Lake,Year,Length_cm,Weight_g,Age_years
Whitefish,Erie,2019,71.0,523.0,1
Smallmouth Bass,Superior,2020,10.8,862.0,7
Lake Trout,Erie,2017,19.0,1282.0,5
Smallmouth Bass,Ontario,2022,43.4,234.0,3
Smallmouth Bass,Michigan,2015,31.3,1416.0,9
Yellow Perch,Michigan,2020,43.9,1104.0,1
Lake Trout,Michigan,2018,38.9,925.0,1
Lake Trout,Superior,2015,24.6,670.0,1
Lake Trout,Ontario,2021,59.3,762.0,3
Smallmouth Bass,Erie,2023,47.0,1299.0,6
Whitefish,Huron,2018,31.6,936.0,3
Lake Trout,Erie,2018,62.6,749.0,8
Northern Pike,Huron,2020,32.4,1234.0,2
Smallmouth Bass,Erie,2017,21.4,1254.0,9
Yellow Perch,Ontario,2020,42.8,375.0,3
Whitefish,Huron,2021,45.3,1286.0,5
Northern Pike,Superior,2017,48.0,2251.0,8
Northern Pike,Erie,2021,50.4,1235.0,2
Yellow Perch,Erie,2017,47.7,150.0,6
Whitefish,Huron,2016,47.1,1089.0,5
Smallmouth Bass,Superior,2018,31.4,85.0,9
Walleye,Superior,2022,29.8,2584.0,5
Whitefish,Ontario,2023,51.1,2118.0,2
Yellow Perch,Superior,2021,43.7,667.0,5
Northern Pike,Superior,2015,52.3,50.0,4
Smallmouth Bass,Superior,2017,14.4,561.0,7
Whitefish,Michigan,2023,32.5,910.0,6
Walleye,Ontario,2015,68.6,119.0,2
Walleye,Erie,2023,48.3,965.0,5
Lake Trout,Huron,2022,44.4,906.0,7
Lake Trout,Erie,2015,50.6,1063.0,7
Yellow Perch,Ontario,2020,73.1,1115.0,5
Whitefish,Huron,2019,70.0,517.0,9
Whitefish,Ontario,2020,16.3,573.0,4
Northern Pike,Superior,2019,21.8,1023.0,3
Northern Pike,Huron,2020,15.8,685.0,4
Northern Pike,Superior,2019,28.8,1454.0,5
Lake Trout,Erie,2019,40.8,1018.0,6
Whitefish,Erie,2018,43.6,1933.0,3
Whitefish,Huron,2017,17.0,1410.0,2
Walleye,Huron,2017,12.0,1552.0,4
Lake Trout,Ontario,2018,28.5,1066.0,5
Smallmouth Bass,Ontario,2023,53.7,1079.0,4
Lake Trout,Superior,2016,56.4,1866.0,3
Smallmouth Bass,Huron,2023,65.6,811.0,8
Walleye,Erie,2015,39.5,1273.0,4
Yellow Perch,Ontario,2015,52.4,867.0,2
Whitefish,Ontario,2019,55.1,866.0,2
Walleye,Erie,2020,32.5,416.0,1
Whitefish,Ontario,2020,45.8,629.0,4
Northern Pike,Superior,2017,49.9,536.0,9
Yellow Perch,Huron,2021,26.4,1297.0,7
Yellow Perch,Erie,2023,64.6,1520.0,7
Walleye,Huron,2022,39.4,953.0,7
Yellow Perch,Ontario,2020,41.3,1115.0,8
Smallmouth Bass,Ontario,2022,25.8,924.0,1
Yellow Perch,Erie,2019,28.3,595.0,8
Whitefish,Superior,2022,7.1,1431.0,4
Whitefish,Michigan,2018,40.8,1326.0,4
Whitefish,Erie,2022,77.6,54.0,4
Whitefish,Michigan,2016,24.7,858.0,6
Smallmouth Bass,Michigan,2019,84.6,559.0,7
Lake Trout,Superior,2023,61.2,805.0,6
Northern Pike,Michigan,2018,32.9,665.0,1
Walleye,Michigan,2020,40.4,977.0,8
Whitefish,Superior,2015,38.0,835.0,7
Yellow Perch,Michigan,2023,65.6,824.0,6
Whitefish,Michigan,2015,47.8,1554.0,6
Yellow Perch,Michigan,2019,57.7,1279.0,5
Northern Pike,Erie,2018,45.4,648.0,6
Northern Pike,Erie,2017,38.3,722.0,9
Northern Pike,Erie,2020,44.9,1246.0,9
Yellow Perch,Superior,2016,33.9,1245.0,8
Whitefish,Ontario,2017,18.2,698.0,9
Northern Pike,Michigan,2019,52.2,883.0,8
Smallmouth Bass,Michigan,2023,17.5,1923.0,8
Yellow Perch,Superior,2016,36.0,707.0,1
Yellow Perch,Michigan,2022,33.4,1955.0,5
Whitefish,Erie,2016,49.7,1552.0,4
Yellow Perch,Ontario,2019,63.5,1863.0,2
Yellow Perch,Huron,2021,58.1,685.0,8
