SPECIES,HUC8,ORIGIN,POINTDATA
Carpiodes velifer,03030004,Native,FALSE
Carpiodes velifer,03030005,Native,TRUE
Carpiodes velifer,03040101,Introduced,FALSE
Carpiodes velifer,03040104,Native,FALSE
Carpiodes velifer,03050101,Introduced,FALSE
Carpiodes velifer,06010106,Native,FALSE
Carpiodes velifer,06010108,Native,TRUE
Carpiodes velifer,10200103,Native,FALSE
Carpiodes velifer,10200201,Native,FALSE
Carpiodes velifer,10200202,Native,TRUE
Carpiodes velifer,10210001,Native,TRUE
Carpiodes velifer,10210003,Native,FALSE
Carpiodes velifer,10210004,Native,TRUE
Carpiodes velifer,10210009,Native,TRUE
Carpiodes velifer,10220003,Native,TRUE
Carpiodes velifer,10220004,Native,FALSE
Carpiodes velifer,10240001,Native,FALSE
Carpiodes velifer,10240008,Native,TRUE
Carpiodes velifer,10170101,Native,FALSE
Carpiodes velifer,05030204,Native,TRUE
Carpiodes velifer,05040001,Native,TRUE
Carpiodes velifer,05040003,Native,TRUE
Carpiodes velifer,05040004,Native,TRUE
Carpiodes velifer,05040005,Native,FALSE
Carpiodes velifer,05040006,Native,TRUE
Carpiodes velifer,05060002,Native,TRUE
Carpiodes velifer,05060003,Native,TRUE
Carpiodes velifer,05090202,Native,TRUE
Carpiodes velifer,05080001,Native,TRUE
Carpiodes velifer,05080002,Native,TRUE
Carpiodes velifer,05120101,Native,TRUE
Carpiodes velifer,11050003,Native,FALSE
Carpiodes velifer,11060006,Native,FALSE
Carpiodes velifer,11070105,Native,FALSE
Carpiodes velifer,11070209,Native,TRUE
Carpiodes velifer,11110101,Native,FALSE
Carpiodes velifer,11110102,Native,FALSE
Carpiodes velifer,11110103,Native,TRUE
Carpiodes velifer,11110104,Native,FALSE
Carpiodes velifer,11110105,Native,TRUE
Carpiodes velifer,11060001,Native,FALSE
Carpiodes velifer,11060004,Native,FALSE
Carpiodes velifer,11060005,Native,TRUE
Carpiodes velifer,11070103,Native,FALSE
Carpiodes velifer,11070106,Native,FALSE
Carpiodes velifer,05010006,Native,TRUE
Carpiodes velifer,05010009,Native,FALSE
Carpiodes velifer,05020005,Native,TRUE
Carpiodes velifer,05030101,Native,FALSE
Carpiodes velifer,05030106,Native,FALSE
Carpiodes velifer,03040207,Native,FALSE
Carpiodes velifer,03050110,Native,TRUE
Carpiodes velifer,03050111,Native,FALSE
Carpiodes velifer,03050112,Native,FALSE
Carpiodes velifer,03140201,Native,TRUE
Carpiodes velifer,03140301,Native,TRUE
Carpiodes velifer,03140303,Native,FALSE
Carpiodes velifer,03140304,Native,TRUE
Carpiodes velifer,03150107,Native,TRUE
Carpiodes velifer,03150109,Native,FALSE
Carpiodes velifer,03150110,Native,TRUE
Carpiodes velifer,03150201,Native,TRUE
Carpiodes velifer,03150202,Native,TRUE
Carpiodes velifer,03150203,Native,TRUE
Carpiodes velifer,03150204,Native,TRUE
Carpiodes velifer,03160105,Native,TRUE
Carpiodes velifer,03160107,Native,TRUE
Carpiodes velifer,03160109,Native,TRUE
Carpiodes velifer,03160110,Native,FALSE
Carpiodes velifer,03160111,Native,TRUE
Carpiodes velifer,03160112,Native,TRUE
Carpiodes velifer,03160113,Native,TRUE
Carpiodes velifer,03160201,Native,TRUE
Carpiodes velifer,03160203,Native,TRUE
Carpiodes velifer,03160204,Native,TRUE
Carpiodes velifer,03160205,Native,FALSE
Carpiodes velifer,06030002,Native,TRUE
Carpiodes velifer,06030006,Native,TRUE
Carpiodes velifer,03140106,Native,FALSE
Carpiodes velifer,03160106,Native,TRUE
Carpiodes velifer,03160108,Native,TRUE
Carpiodes velifer,03170002,Native,TRUE
Carpiodes velifer,06030005,Native,FALSE
Carpiodes velifer,06030001,Native,TRUE
Carpiodes velifer,06030004,Native,TRUE
Carpiodes velifer,03060106,Native,FALSE
Carpiodes velifer,03040201,Native,TRUE
Carpiodes velifer,03050103,Introduced,FALSE
Carpiodes velifer,03050105,Native,TRUE
Carpiodes velifer,05130106,Native,FALSE
Carpiodes velifer,05130201,Native,FALSE
Carpiodes velifer,05130202,Native,FALSE
