SPECIES,HUC8,ORIGIN,POINTDATA
Catostomus catostomus,09010003,Native,FALSE
Catostomus catostomus,09010005,Native,FALSE
Catostomus catostomus,10110101,Native,FALSE
Catostomus catostomus,10130101,Native,TRUE
Catostomus catostomus,09010008,Native,FALSE
Catostomus catostomus,10180013,Native,FALSE
Catostomus catostomus,10180014,Native,TRUE
Catostomus catostomus,10180009,Native,TRUE
Catostomus catostomus,01070001,Native,TRUE
Catostomus catostomus,01040001,Native,TRUE
Catostomus catostomus,01060002,Native,FALSE
Catostomus catostomus,01080103,Native,TRUE
Catostomus catostomus,01080104,Native,TRUE
Catostomus catostomus,01080106,Native,TRUE
Catostomus catostomus,01080107,Native,TRUE
Catostomus catostomus,01080101,Native,TRUE
Catostomus catostomus,02020007,Native,FALSE
Catostomus catostomus,02020001,Native,TRUE
Catostomus catostomus,02020002,Native,TRUE
Catostomus catostomus,02020004,Native,TRUE
Catostomus catostomus,02020005,Native,FALSE
Catostomus catostomus,02020006,Native,TRUE
Catostomus catostomus,02040102,Native,TRUE
Catostomus catostomus,02050102,Native,TRUE
Catostomus catostomus,04130001,Native,FALSE
Catostomus catostomus,04130003,Native,FALSE
Catostomus catostomus,04140102,Native,FALSE
Catostomus catostomus,04140201,Native,FALSE
Catostomus catostomus,04140202,Native,FALSE
Catostomus catostomus,04150101,Native,FALSE
Catostomus catostomus,04150102,Native,FALSE
Catostomus catostomus,04150302,Native,FALSE
Catostomus catostomus,04150303,Native,FALSE
Catostomus catostomus,04150304,Native,FALSE
Catostomus catostomus,04150305,Native,FALSE
Catostomus catostomus,04150306,Native,FALSE
Catostomus catostomus,04150307,Native,FALSE
Catostomus catostomus,04150309,Native,FALSE
Catostomus catostomus,04150310,Native,FALSE
Catostomus catostomus,04150404,Native,TRUE
Catostomus catostomus,04150406,Native,FALSE
Catostomus catostomus,04150308,Native,FALSE
Catostomus catostomus,04150401,Native,TRUE
Catostomus catostomus,04150408,Native,TRUE
Catostomus catostomus,04100010,Native,FALSE
Catostomus catostomus,04100012,Native,FALSE
Catostomus catostomus,04120101,Native,FALSE
Catostomus catostomus,02040104,Native,FALSE
Catostomus catostomus,02040101,Native,FALSE
Catostomus catostomus,02050101,Native,FALSE
Catostomus catostomus,04130002,Native,TRUE
Catostomus catostomus,05020005,Native,FALSE
Catostomus catostomus,10120202,Native,TRUE
Catostomus catostomus,10120203,Native,TRUE
Catostomus catostomus,14010005,Introduced,FALSE
Catostomus catostomus,05020001,Native,FALSE
Catostomus catostomus,01010009,Native,FALSE
Catostomus catostomus,01010011,Native,FALSE
Catostomus catostomus,01030001,Native,FALSE
Catostomus catostomus,04120200,Native,TRUE
Catostomus catostomus,04150200,Native,FALSE
Catostomus catostomus,04150409,Native,FALSE
Catostomus catostomus,10190001,Native,TRUE
Catostomus catostomus,10190002,Native,TRUE
Catostomus catostomus,10190003,Native,TRUE
Catostomus catostomus,10190004,Native,FALSE
Catostomus catostomus,10190005,Native,TRUE
Catostomus catostomus,10190006,Introduced,TRUE
Catostomus catostomus,10190007,Native,TRUE
Catostomus catostomus,10190012,Native,FALSE
Catostomus catostomus,11020001,Introduced,TRUE
Catostomus catostomus,11020002,Introduced,TRUE
Catostomus catostomus,11020009,Introduced,FALSE
Catostomus catostomus,13010001,Introduced,FALSE
Catostomus catostomus,14010001,Introduced,TRUE
Catostomus catostomus,14020002,Introduced,TRUE
Catostomus catostomus,14020004,Introduced,TRUE
Catostomus catostomus,14020005,Introduced,TRUE
Catostomus catostomus,14020006,Introduced,FALSE
Catostomus catostomus,14050005,Introduced,TRUE
Catostomus catostomus,01080105,Native,TRUE
Catostomus catostomus,04150402,Native,FALSE
Catostomus catostomus,04150403,Native,TRUE
Catostomus catostomus,04150405,Native,TRUE
Catostomus catostomus,04150407,Native,TRUE
Catostomus catostomus,04150500,Native,TRUE
Catostomus catostomus,01080102,Native,TRUE
Catostomus catostomus,04030101,Native,FALSE
Catostomus catostomus,04030102,Native,FALSE
Catostomus catostomus,04030105,Native,FALSE
Catostomus catostomus,04030203,Native,FALSE
Catostomus catostomus,04030204,Native,FALSE
Catostomus catostomus,10190016,Native,FALSE
Catostomus catostomus,10180010,Native,TRUE
Catostomus catostomus,10190009,Native,TRUE
Catostomus catostomus,01080206,Native,FALSE
Catostomus catostomus,01100005,Introduced,TRUE
Catostomus catostomus,05020003,Native,FALSE
Catostomus catostomus,10080001,Native,FALSE
Catostomus catostomus,10080002,Native,FALSE
Catostomus catostomus,10080003,Native,TRUE
Catostomus catostomus,10080006,Native,FALSE
Catostomus catostomus,10080007,Native,TRUE
Catostomus catostomus,10080008,Native,TRUE
Catostomus catostomus,10080009,Native,TRUE
Catostomus catostomus,10080011,Native,TRUE
Catostomus catostomus,10080012,Native,TRUE
Catostomus catostomus,10080013,Native,FALSE
Catostomus catostomus,10090201,Native,TRUE
Catostomus catostomus,10090202,Native,FALSE
Catostomus catostomus,10090203,Native,FALSE
Catostomus catostomus,10090204,Native,FALSE
Catostomus catostomus,10090205,Native,FALSE
Catostomus catostomus,10090206,Native,TRUE
Catostomus catostomus,10180004,Native,TRUE
Catostomus catostomus,10180005,Native,TRUE
Catostomus catostomus,10180006,Native,TRUE
Catostomus catostomus,10180007,Native,TRUE
Catostomus catostomus,10180008,Native,TRUE
Catostomus catostomus,10180011,Native,TRUE
Catostomus catostomus,14040103,Introduced,FALSE
Catostomus catostomus,14040104,Introduced,FALSE
Catostomus catostomus,10070001,Native,FALSE
Catostomus catostomus,10070006,Native,TRUE
Catostomus catostomus,10080010,Native,TRUE
Catostomus catostomus,10080014,Native,TRUE
Catostomus catostomus,10090101,Native,TRUE
Catostomus catostomus,10090208,Native,TRUE
Catostomus catostomus,10110201,Native,FALSE
Catostomus catostomus,10180012,Native,TRUE
Catostomus catostomus,10120201,Native,FALSE
Catostomus catostomus,17010106,Native,FALSE
Catostomus catostomus,17010301,Native,TRUE
Catostomus catostomus,17010302,Native,FALSE
Catostomus catostomus,17010303,Native,FALSE
Catostomus catostomus,17010104,Native,FALSE
Catostomus catostomus,17010105,Native,FALSE
Catostomus catostomus,17010214,Native,TRUE
Catostomus catostomus,17010215,Native,FALSE
Catostomus catostomus,17010306,Native,FALSE
Catostomus catostomus,17010102,Native,TRUE
Catostomus catostomus,17010201,Native,TRUE
Catostomus catostomus,17010202,Native,TRUE
Catostomus catostomus,17010203,Native,FALSE
Catostomus catostomus,17010204,Native,TRUE
Catostomus catostomus,17010205,Native,TRUE
Catostomus catostomus,17010207,Native,FALSE
Catostomus catostomus,17010208,Native,FALSE
Catostomus catostomus,17010209,Native,FALSE
Catostomus catostomus,17010210,Native,FALSE
Catostomus catostomus,17010211,Native,FALSE
Catostomus catostomus,17010212,Native,TRUE
Catostomus catostomus,17010103,Native,FALSE
Catostomus catostomus,17010206,Native,FALSE
Catostomus catostomus,17010213,Native,TRUE
Catostomus catostomus,17010101,Native,FALSE
Catostomus catostomus,07120003,Native,FALSE
Catostomus catostomus,17010307,Native,FALSE
Catostomus catostomus,17010308,Native,FALSE
Catostomus catostomus,17020003,Native,FALSE
Catostomus catostomus,17020004,Native,FALSE
Catostomus catostomus,17020005,Native,FALSE
Catostomus catostomus,17020008,Native,FALSE
Catostomus catostomus,17020009,Native,FALSE
Catostomus catostomus,17020010,Native,FALSE
Catostomus catostomus,17020011,Native,FALSE
Catostomus catostomus,17020012,Native,FALSE
Catostomus catostomus,17020013,Native,FALSE
Catostomus catostomus,17020014,Native,FALSE
Catostomus catostomus,17020015,Native,FALSE
Catostomus catostomus,17020016,Native,FALSE
Catostomus catostomus,17030001,Native,TRUE
Catostomus catostomus,17030003,Native,TRUE
Catostomus catostomus,17020001,Native,FALSE
Catostomus catostomus,17020002,Native,FALSE
Catostomus catostomus,17020006,Native,FALSE
Catostomus catostomus,17020007,Native,TRUE
Catostomus catostomus,17010216,Native,FALSE
Catostomus catostomus,17010305,Native,FALSE
Catostomus catostomus,01080201,Native,FALSE
Catostomus catostomus,02020003,Native,TRUE
Catostomus catostomus,01080203,Native,TRUE
Catostomus catostomus,05020006,Native,TRUE
Catostomus catostomus,01010002,Native,TRUE
Catostomus catostomus,01010003,Native,TRUE
Catostomus catostomus,01010004,Native,TRUE
Catostomus catostomus,01010005,Native,FALSE
Catostomus catostomus,01020001,Native,TRUE
Catostomus catostomus,01020002,Native,TRUE
Catostomus catostomus,01020003,Native,FALSE
Catostomus catostomus,01020004,Native,FALSE
Catostomus catostomus,01020005,Native,TRUE
Catostomus catostomus,01030002,Native,FALSE
Catostomus catostomus,01030003,Native,TRUE
Catostomus catostomus,01050002,Native,FALSE
Catostomus catostomus,01050003,Native,FALSE
Catostomus catostomus,01060001,Native,FALSE
Catostomus catostomus,01010006,Native,FALSE
Catostomus catostomus,01010007,Native,FALSE
Catostomus catostomus,01010008,Native,FALSE
Catostomus catostomus,01010010,Native,FALSE
Catostomus catostomus,01050001,Native,FALSE
Catostomus catostomus,01050004,Native,FALSE
Catostomus catostomus,04150600,Native,FALSE
Catostomus catostomus,01040002,Native,TRUE
Catostomus catostomus,04030109,Native,FALSE
Catostomus catostomus,04060101,Native,FALSE
Catostomus catostomus,04060104,Native,FALSE
Catostomus catostomus,04090004,Native,FALSE
Catostomus catostomus,04030108,Native,FALSE
Catostomus catostomus,09040001,Native,FALSE
Catostomus catostomus,09040002,Native,FALSE
Catostomus catostomus,10020002,Native,FALSE
Catostomus catostomus,10020003,Native,FALSE
Catostomus catostomus,10020004,Native,TRUE
Catostomus catostomus,10020005,Native,TRUE
Catostomus catostomus,10020006,Native,FALSE
Catostomus catostomus,10020008,Native,FALSE
Catostomus catostomus,10030101,Native,FALSE
Catostomus catostomus,10030102,Native,TRUE
Catostomus catostomus,10030103,Native,TRUE
Catostomus catostomus,10030104,Native,TRUE
Catostomus catostomus,10030105,Native,TRUE
Catostomus catostomus,10030201,Native,FALSE
Catostomus catostomus,10030202,Native,FALSE
Catostomus catostomus,10030203,Native,FALSE
Catostomus catostomus,10030204,Native,FALSE
Catostomus catostomus,10030205,Native,FALSE
Catostomus catostomus,10040101,Native,FALSE
Catostomus catostomus,10040102,Native,FALSE
Catostomus catostomus,10040103,Native,TRUE
Catostomus catostomus,10040104,Native,FALSE
Catostomus catostomus,10040201,Native,TRUE
Catostomus catostomus,10040202,Native,FALSE
Catostomus catostomus,10040203,Native,FALSE
Catostomus catostomus,10040204,Native,FALSE
Catostomus catostomus,10040205,Native,FALSE
Catostomus catostomus,10050001,Native,TRUE
Catostomus catostomus,10050002,Native,FALSE
Catostomus catostomus,10050003,Native,FALSE
Catostomus catostomus,10050004,Native,TRUE
Catostomus catostomus,10050005,Native,FALSE
Catostomus catostomus,10050006,Native,FALSE
Catostomus catostomus,10050007,Native,FALSE
Catostomus catostomus,10050008,Native,FALSE
Catostomus catostomus,10050009,Native,FALSE
Catostomus catostomus,10050010,Native,FALSE
Catostomus catostomus,10050011,Native,FALSE
Catostomus catostomus,10050012,Native,FALSE
Catostomus catostomus,10050013,Native,FALSE
Catostomus catostomus,10050014,Native,FALSE
Catostomus catostomus,10050015,Native,FALSE
Catostomus catostomus,10060001,Native,TRUE
