Species,HUC8,Origin,PointData
Catostomus clarkii,15040001,Native,True
Catostomus clarkii,15040002,Native,True
Catostomus clarkii,15010011,Native,True
Catostomus clarkii,15010013,Native,True
Catostomus clarkii,15010010,Native,True
Catostomus clarkii,15010009,Native,True
Catostomus clarkii,15030201,Native,False
Catostomus clarkii,15030202,Native,True
Catostomus clarkii,15030203,Native,False
Catostomus clarkii,15040005,Native,True
Catostomus clarkii,15040007,Native,False
Catostomus clarkii,15050100,Native,True
Catostomus clarkii,15050203,Native,True
Catostomus clarkii,15050301,Native,True
Catostomus clarkii,15060101,Native,False
Catostomus clarkii,15060102,Native,False
Catostomus clarkii,15060103,Native,True
Catostomus clarkii,15060104,Native,False
Catostomus clarkii,15060105,Native,True
Catostomus clarkii,15060106,Native,True
Catostomus clarkii,15060202,Native,True
Catostomus clarkii,15070102,Native,True
Catostomus clarkii,15070103,Native,False
Catostomus clarkii,15050202,Native,True
Catostomus clarkii,15040004,Native,True
Catostomus clarkii,15010008,Native,True
Catostomus clarkii,15010012,Native,True
Catostomus clarkii,15060203,Native,True
