Species,HUC8,Origin,PointData
Catostomus insignis,15040001,Native,True
Catostomus insignis,15040002,Native,True
Catostomus insignis,15020001,Native,False
Catostomus insignis,15020015,Native,False
Catostomus insignis,15030201,Native,False
Catostomus insignis,15030202,Native,False
Catostomus insignis,15030203,Native,False
Catostomus insignis,15030204,Native,False
Catostomus insignis,15040005,Native,True
Catostomus insignis,15040007,Native,True
Catostomus insignis,15050100,Native,False
Catostomus insignis,15050203,Native,True
Catostomus insignis,15050301,Native,True
Catostomus insignis,15060101,Native,False
Catostomus insignis,15060102,Native,False
Catostomus insignis,15060103,Native,True
Catostomus insignis,15060104,Native,True
Catostomus insignis,15060105,Native,False
Catostomus insignis,15060106,Native,True
Catostomus insignis,15060201,Native,False
Catostomus insignis,15060202,Native,True
Catostomus insignis,15070102,Native,False
Catostomus insignis,15050202,Native,True
Catostomus insignis,15040004,Native,True
Catostomus insignis,15060203,Native,True
