SPECIES,HUC8,ORIGIN,POINTDATA
Catostomus latipinnis,15040001,Native,FALSE
Catostomus latipinnis,15040002,Native,FALSE
Catostomus latipinnis,14080105,Native,TRUE
Catostomus latipinnis,14080101,Native,TRUE
Catostomus latipinnis,14080104,Native,TRUE
Catostomus latipinnis,15010013,Native,FALSE
Catostomus latipinnis,15010010,Native,TRUE
Catostomus latipinnis,15010001,Native,TRUE
Catostomus latipinnis,15010002,Native,TRUE
Catostomus latipinnis,15010004,Native,TRUE
Catostomus latipinnis,15010009,Native,FALSE
Catostomus latipinnis,15020001,Native,TRUE
Catostomus latipinnis,15020002,Native,TRUE
Catostomus latipinnis,15020005,Native,TRUE
Catostomus latipinnis,15020008,Native,FALSE
Catostomus latipinnis,15020010,Native,FALSE
Catostomus latipinnis,15020013,Native,FALSE
Catostomus latipinnis,15020016,Native,TRUE
Catostomus latipinnis,15030204,Native,FALSE
Catostomus latipinnis,15040005,Native,TRUE
Catostomus latipinnis,15040007,Native,FALSE
Catostomus latipinnis,15050100,Native,FALSE
Catostomus latipinnis,15050203,Native,FALSE
Catostomus latipinnis,15060101,Native,FALSE
Catostomus latipinnis,15060103,Native,TRUE
Catostomus latipinnis,15060105,Native,FALSE
Catostomus latipinnis,15060106,Native,TRUE
Catostomus latipinnis,15070101,Native,FALSE
Catostomus latipinnis,15070102,Native,FALSE
Catostomus latipinnis,15070103,Native,FALSE
Catostomus latipinnis,15070201,Native,FALSE
Catostomus latipinnis,15030107,Native,FALSE
Catostomus latipinnis,15030108,Native,FALSE
Catostomus latipinnis,15050202,Native,FALSE
Catostomus latipinnis,14080204,Native,FALSE
Catostomus latipinnis,15010005,Native,TRUE
Catostomus latipinnis,15010006,Native,FALSE
Catostomus latipinnis,14070006,Native,FALSE
Catostomus latipinnis,14070007,Native,FALSE
Catostomus latipinnis,14080201,Native,TRUE
Catostomus latipinnis,14080205,Native,TRUE
Catostomus latipinnis,15010003,Native,FALSE
Catostomus latipinnis,14030005,Native,TRUE
Catostomus latipinnis,14060003,Native,FALSE
Catostomus latipinnis,14060004,Native,TRUE
Catostomus latipinnis,14060005,Native,TRUE
Catostomus latipinnis,14060007,Native,TRUE
Catostomus latipinnis,14060008,Native,TRUE
Catostomus latipinnis,14060009,Native,TRUE
Catostomus latipinnis,14060010,Native,TRUE
Catostomus latipinnis,14070001,Native,FALSE
Catostomus latipinnis,14070002,Native,FALSE
Catostomus latipinnis,14070003,Native,FALSE
Catostomus latipinnis,14070005,Native,TRUE
Catostomus latipinnis,15010008,Native,TRUE
Catostomus latipinnis,15010012,Native,TRUE
Catostomus latipinnis,15060203,Native,FALSE
Catostomus latipinnis,15030104,Native,TRUE
Catostomus latipinnis,14060006,Native,FALSE
Catostomus latipinnis,14070004,Native,TRUE
Catostomus latipinnis,14010005,Native,TRUE
Catostomus latipinnis,14040109,Native,FALSE
Catostomus latipinnis,18100204,Native,FALSE
Catostomus latipinnis,15030101,Native,TRUE
Catostomus latipinnis,14010001,Native,TRUE
Catostomus latipinnis,14010004,Native,FALSE
Catostomus latipinnis,14020002,Native,FALSE
Catostomus latipinnis,14020004,Native,TRUE
Catostomus latipinnis,14020005,Native,TRUE
Catostomus latipinnis,14020006,Native,TRUE
Catostomus latipinnis,14030002,Native,TRUE
Catostomus latipinnis,14030003,Native,FALSE
Catostomus latipinnis,14050001,Native,TRUE
Catostomus latipinnis,14050002,Native,TRUE
Catostomus latipinnis,14050005,Native,TRUE
Catostomus latipinnis,14030004,Native,FALSE
Catostomus latipinnis,14050007,Native,TRUE
Catostomus latipinnis,14080203,Native,TRUE
Catostomus latipinnis,14040106,Native,TRUE
Catostomus latipinnis,16030006,Native,FALSE
Catostomus latipinnis,14040107,Native,TRUE
Catostomus latipinnis,14050006,Native,FALSE
Catostomus latipinnis,14080102,Native,TRUE
Catostomus latipinnis,14080107,Native,TRUE
Catostomus latipinnis,14030001,Native,TRUE
Catostomus latipinnis,14080202,Native,TRUE
Catostomus latipinnis,14050003,Native,TRUE
Catostomus latipinnis,14040101,Native,TRUE
Catostomus latipinnis,14040102,Native,FALSE
Catostomus latipinnis,14040103,Native,TRUE
Catostomus latipinnis,14040104,Native,TRUE
Catostomus latipinnis,14040105,Native,TRUE
Catostomus latipinnis,14050004,Native,TRUE
Catostomus latipinnis,14040108,Native,TRUE
