SPECIES,HUC8,ORIGIN,POINTDATA
Catostomus tahoensis,16040101,Native,TRUE
Catostomus tahoensis,16040102,Native,TRUE
Catostomus tahoensis,16040103,Native,TRUE
Catostomus tahoensis,16040105,Native,TRUE
Catostomus tahoensis,16040106,Native,TRUE
Catostomus tahoensis,16040107,Native,TRUE
Catostomus tahoensis,16040108,Native,TRUE
Catostomus tahoensis,16040109,Native,TRUE
Catostomus tahoensis,16050103,Native,TRUE
Catostomus tahoensis,16050104,Native,FALSE
Catostomus tahoensis,16050202,Native,TRUE
Catostomus tahoensis,16050203,Native,FALSE
Catostomus tahoensis,16050303,Native,TRUE
Catostomus tahoensis,16050304,Native,FALSE
Catostomus tahoensis,16060001,Native,FALSE
Catostomus tahoensis,16040203,Native,TRUE
Catostomus tahoensis,16040201,Native,TRUE
Catostomus tahoensis,16050101,Native,TRUE
Catostomus tahoensis,18020121,Introduced,TRUE
Catostomus tahoensis,18020122,Introduced,FALSE
Catostomus tahoensis,18020123,Introduced,TRUE
Catostomus tahoensis,18020125,Introduced,FALSE
Catostomus tahoensis,18020128,Introduced,FALSE
Catostomus tahoensis,16040104,Native,FALSE
Catostomus tahoensis,16050102,Native,TRUE
Catostomus tahoensis,16050201,Native,TRUE
Catostomus tahoensis,16050301,Native,TRUE
Catostomus tahoensis,16050302,Native,TRUE
Catostomus tahoensis,18080003,Native,TRUE
