Species,HUC8,Origin,PointData
Centrarchus macropterus,03030003,Native,True
Centrarchus macropterus,03030004,Native,True
Centrarchus macropterus,03030005,Native,True
Centrarchus macropterus,03030006,Native,True
Centrarchus macropterus,03030007,Native,True
Centrarchus macropterus,03040104,Native,True
Centrarchus macropterus,03040105,Native,True
Centrarchus macropterus,03010102,Native,False
Centrarchus macropterus,03010106,Native,True
Centrarchus macropterus,03010203,Native,True
Centrarchus macropterus,03010204,Native,True
Centrarchus macropterus,11140107,Native,True
Centrarchus macropterus,03040202,Native,True
Centrarchus macropterus,03040205,Native,True
Centrarchus macropterus,03040207,Native,True
Centrarchus macropterus,03050104,Native,True
Centrarchus macropterus,03050107,Native,False
Centrarchus macropterus,03050108,Native,True
Centrarchus macropterus,03050110,Native,False
Centrarchus macropterus,03050111,Native,True
Centrarchus macropterus,03050112,Native,True
Centrarchus macropterus,03050201,Native,True
Centrarchus macropterus,03140107,Native,True
Centrarchus macropterus,03140201,Native,True
Centrarchus macropterus,03140301,Native,True
Centrarchus macropterus,03140302,Native,False
Centrarchus macropterus,03140303,Native,True
Centrarchus macropterus,03140304,Native,False
Centrarchus macropterus,03150106,Native,False
Centrarchus macropterus,03150107,Native,True
Centrarchus macropterus,03150109,Native,False
Centrarchus macropterus,03150110,Native,True
Centrarchus macropterus,03150201,Native,True
Centrarchus macropterus,03150202,Native,True
Centrarchus macropterus,03150203,Native,True
Centrarchus macropterus,03150204,Native,True
Centrarchus macropterus,03160105,Native,True
Centrarchus macropterus,03160107,Native,True
Centrarchus macropterus,03160113,Native,True
Centrarchus macropterus,03160201,Native,True
Centrarchus macropterus,03160203,Native,True
Centrarchus macropterus,03160204,Native,True
Centrarchus macropterus,03160205,Native,False
Centrarchus macropterus,03140106,Native,False
Centrarchus macropterus,03130002,Native,True
Centrarchus macropterus,03130003,Native,True
Centrarchus macropterus,03160106,Native,True
Centrarchus macropterus,03160108,Native,True
Centrarchus macropterus,03170002,Native,True
Centrarchus macropterus,08020205,Native,False
Centrarchus macropterus,03050202,Native,False
Centrarchus macropterus,03050203,Native,True
Centrarchus macropterus,03050204,Native,True
Centrarchus macropterus,03050205,Native,True
Centrarchus macropterus,03050206,Native,True
Centrarchus macropterus,03050207,Native,True
Centrarchus macropterus,03050208,Native,True
Centrarchus macropterus,03060106,Native,True
Centrarchus macropterus,03040201,Native,True
Centrarchus macropterus,03040203,Native,True
Centrarchus macropterus,03040204,Native,True
