SPECIES_NAME,HUC8,NAME,ORIGIN,POINTDATA
Cottus aleuticus,18010101,Smith,Native,TRUE
Cottus aleuticus,18010102,Mad-Redwood,Native,TRUE
Cottus aleuticus,18010105,Lower Eel,Native,TRUE
Cottus aleuticus,18010106,South Fork Eel,Native,FALSE
Cottus aleuticus,18010107,Mattole,Native,TRUE
Cottus aleuticus,18010108,Big-Navarro-Garcia,Native,TRUE
Cottus aleuticus,18010109,Gualala-Salmon,Native,TRUE
Cottus aleuticus,18010110,Russian,Native,TRUE
Cottus aleuticus,18010209,Lower Klamath,Native,TRUE
Cottus aleuticus,18010211,Trinity,Native,TRUE
Cottus aleuticus,18010212,South Fork Trinity,Native,FALSE
Cottus aleuticus,18050002,San Pablo Bay,Native,FALSE
Cottus aleuticus,18050003,Coyote,Native,FALSE
Cottus aleuticus,18050004,San Francisco Bay,Native,FALSE
Cottus aleuticus,18050005,Tomales-Drake Bays,Native,TRUE
Cottus aleuticus,18050006,San Francisco Coastal South,Native,TRUE
Cottus aleuticus,18060002,Pajaro,Native,TRUE
Cottus aleuticus,18060005,Salinas,Native,FALSE
Cottus aleuticus,18060006,Central Coastal,Native,TRUE
Cottus aleuticus,18060008,Santa Maria,Native,FALSE
Cottus aleuticus,18060009,San Antonio,Native,FALSE
Cottus aleuticus,17100103,Upper Chehalis,Native,FALSE
Cottus aleuticus,17100311,Illinois,Native,FALSE
Cottus aleuticus,17100312,Chetco,Native,TRUE
Cottus aleuticus,17100201,Necanicum,Native,TRUE
Cottus aleuticus,17100202,Nehalem,Native,TRUE
Cottus aleuticus,17100203,Wilson-Trusk-Nestuccu,Native,TRUE
Cottus aleuticus,17100204,Siletz-Yaquina,Native,TRUE
Cottus aleuticus,17100205,Alsea,Native,TRUE
Cottus aleuticus,17100206,Siuslaw,Native,TRUE
Cottus aleuticus,17100207,Siltcoos,Native,FALSE
Cottus aleuticus,17100302,South Umpqua,Native,TRUE
Cottus aleuticus,17100303,Umpqua,Native,TRUE
Cottus aleuticus,17100304,Coos,Native,FALSE
Cottus aleuticus,17100305,Coquille,Native,TRUE
Cottus aleuticus,17100306,Sixes,Native,TRUE
Cottus aleuticus,17100310,Lower Rogue,Native,TRUE
Cottus aleuticus,17100101,Hoh-Quillayute,Native,TRUE
Cottus aleuticus,17100102,Queets-Quinault,Native,TRUE
Cottus aleuticus,17100104,Lower Chehalis,Native,TRUE
Cottus aleuticus,17100105,Grays Harbor,Native,TRUE
Cottus aleuticus,17100106,Willapa Bay,Native,TRUE
Cottus aleuticus,17110004,Nooksack,Native,TRUE
Cottus aleuticus,17110006,Sauk,Native,TRUE
Cottus aleuticus,17110007,Lower Skagit,Native,FALSE
Cottus aleuticus,17110008,Stillaguamish,Native,TRUE
Cottus aleuticus,17110010,Snoqualmie,Native,TRUE
Cottus aleuticus,17110011,Snohomish,Native,TRUE
Cottus aleuticus,17110012,Lake Washington,Native,TRUE
Cottus aleuticus,17110013,Duwamish,Native,TRUE
Cottus aleuticus,17110014,Puyallup,Native,FALSE
Cottus aleuticus,17110015,Nisqually,Native,FALSE
Cottus aleuticus,17110016,Deschutes,Native,FALSE
Cottus aleuticus,17110017,Skokomish,Native,FALSE
Cottus aleuticus,17110018,Hood Canal,Native,TRUE
Cottus aleuticus,17110019,Puget Sound,Native,TRUE
Cottus aleuticus,17110002,Strait of Georgia,Native,TRUE
Cottus aleuticus,17110003,San Juan Islands,Native,FALSE
Cottus aleuticus,17110020,Dungeness-Elwha,Native,FALSE
Cottus aleuticus,17110021,Crescent-Hoko,Native,TRUE
Cottus aleuticus,17090001,Middle Fork Willamette,Native,TRUE
Cottus aleuticus,17090002,Coast Fork Willamette,Native,FALSE
Cottus aleuticus,17090003,Upper Willamette,Native,TRUE
