SPECIES,HUC8,ORIGIN,POINTDATA
Cottus cognatus,01070001,Native,TRUE
Cottus cognatus,01070002,Native,TRUE
Cottus cognatus,01070003,Native,FALSE
Cottus cognatus,01040001,Native,TRUE
Cottus cognatus,01060002,Native,TRUE
Cottus cognatus,01060003,Native,FALSE
Cottus cognatus,01080103,Native,TRUE
Cottus cognatus,01080104,Native,TRUE
Cottus cognatus,01080106,Native,TRUE
Cottus cognatus,01080107,Native,TRUE
Cottus cognatus,01080101,Native,TRUE
Cottus cognatus,02030103,Native,TRUE
Cottus cognatus,02030105,Native,TRUE
Cottus cognatus,02020007,Native,FALSE
Cottus cognatus,02040105,Native,TRUE
Cottus cognatus,02020001,Native,TRUE
Cottus cognatus,02020002,Native,TRUE
Cottus cognatus,02020004,Native,TRUE
Cottus cognatus,02020005,Native,FALSE
Cottus cognatus,02020006,Native,TRUE
Cottus cognatus,02020008,Native,FALSE
Cottus cognatus,02040102,Native,TRUE
Cottus cognatus,02050102,Native,TRUE
Cottus cognatus,04120102,Native,FALSE
Cottus cognatus,04120103,Native,FALSE
Cottus cognatus,04130001,Native,FALSE
Cottus cognatus,04130003,Native,FALSE
Cottus cognatus,04140101,Native,FALSE
Cottus cognatus,04140102,Native,TRUE
Cottus cognatus,04140201,Native,TRUE
Cottus cognatus,04140202,Native,TRUE
Cottus cognatus,04140203,Native,FALSE
Cottus cognatus,04150101,Native,TRUE
Cottus cognatus,04150102,Native,FALSE
Cottus cognatus,04150302,Native,FALSE
Cottus cognatus,04150303,Native,TRUE
Cottus cognatus,04150304,Native,FALSE
Cottus cognatus,04150305,Native,TRUE
Cottus cognatus,04150306,Native,FALSE
Cottus cognatus,04150307,Native,TRUE
Cottus cognatus,04150309,Native,FALSE
Cottus cognatus,04150310,Native,FALSE
Cottus cognatus,04150404,Native,TRUE
Cottus cognatus,04150406,Native,TRUE
Cottus cognatus,04150308,Native,TRUE
Cottus cognatus,02030101,Native,FALSE
Cottus cognatus,04150401,Native,TRUE
Cottus cognatus,04150408,Native,TRUE
Cottus cognatus,02040103,Native,TRUE
Cottus cognatus,02040106,Native,TRUE
Cottus cognatus,02040203,Native,FALSE
Cottus cognatus,02050106,Native,TRUE
Cottus cognatus,02050107,Native,TRUE
Cottus cognatus,02050201,Native,TRUE
Cottus cognatus,02050202,Native,TRUE
Cottus cognatus,02050203,Native,TRUE
Cottus cognatus,02050204,Native,TRUE
Cottus cognatus,02050205,Native,TRUE
