SPECIES,HUC8,ORIGIN,POINTDATA
Cottus hypselurus,07140102,Native,TRUE
Cottus hypselurus,07140103,Native,FALSE
Cottus hypselurus,07140104,Native,TRUE
Cottus hypselurus,10290105,Native,FALSE
Cottus hypselurus,10290106,Native,TRUE
Cottus hypselurus,10290107,Native,FALSE
Cottus hypselurus,10290109,Native,TRUE
Cottus hypselurus,10290110,Native,TRUE
Cottus hypselurus,10290111,Native,TRUE
Cottus hypselurus,10290201,Native,TRUE
Cottus hypselurus,10290202,Native,TRUE
Cottus hypselurus,10290203,Native,TRUE
