Species,HUC8,Origin,PointData
Couesius plumbeus,10110101,Native,True
Couesius plumbeus,10060007,Native,False
Couesius plumbeus,10110203,Native,False
Couesius plumbeus,01070001,Native,True
Couesius plumbeus,01070002,Native,True
Couesius plumbeus,01070003,Native,False
Couesius plumbeus,01040001,Native,True
Couesius plumbeus,01060002,Native,True
Couesius plumbeus,01060003,Native,True
Couesius plumbeus,01080103,Native,False
Couesius plumbeus,01080104,Native,False
Couesius plumbeus,01080106,Native,True
Couesius plumbeus,01080107,Native,False
Couesius plumbeus,01080101,Native,True
Couesius plumbeus,02020001,Native,False
Couesius plumbeus,02020002,Native,False
Couesius plumbeus,02020004,Native,True
Couesius plumbeus,02020005,Native,False
Couesius plumbeus,02020006,Native,True
Couesius plumbeus,02040102,Native,True
Couesius plumbeus,04130001,Native,True
Couesius plumbeus,04140101,Native,True
Couesius plumbeus,04140201,Native,True
Couesius plumbeus,04150101,Native,True
Couesius plumbeus,04150302,Native,True
Couesius plumbeus,04150304,Native,True
Couesius plumbeus,04150305,Native,True
Couesius plumbeus,04150306,Native,True
Couesius plumbeus,04150307,Native,False
Couesius plumbeus,04150309,Native,False
Couesius plumbeus,04150310,Native,False
Couesius plumbeus,04150404,Native,True
Couesius plumbeus,04150406,Native,True
Couesius plumbeus,04150308,Native,False
Couesius plumbeus,04150401,Native,False
Couesius plumbeus,04150408,Native,True
Couesius plumbeus,10120109,Native,True
Couesius plumbeus,10120110,Native,True
Couesius plumbeus,01010009,Native,True
Couesius plumbeus,01010011,Native,True
Couesius plumbeus,01030001,Native,True
Couesius plumbeus,04120200,Introduced,True
Couesius plumbeus,04150200,Native,True
Couesius plumbeus,04150409,Native,False
Couesius plumbeus,01080105,Native,True
Couesius plumbeus,04150402,Native,False
Couesius plumbeus,04150403,Native,True
Couesius plumbeus,04150405,Native,True
Couesius plumbeus,04150407,Native,True
Couesius plumbeus,04150500,Native,True
Couesius plumbeus,01080102,Native,True
Couesius plumbeus,04030101,Native,False
Couesius plumbeus,04030102,Native,False
Couesius plumbeus,01080206,Native,True
Couesius plumbeus,10080001,Native,True
Couesius plumbeus,10080002,Native,False
Couesius plumbeus,10080003,Native,True
Couesius plumbeus,10080006,Native,True
Couesius plumbeus,10080007,Native,True
Couesius plumbeus,10080008,Native,True
Couesius plumbeus,10080009,Native,True
Couesius plumbeus,10080011,Native,True
Couesius plumbeus,10080012,Native,True
Couesius plumbeus,10080013,Native,True
Couesius plumbeus,10180006,Native,True
Couesius plumbeus,10180007,Native,True
Couesius plumbeus,14040103,Introduced,True
Couesius plumbeus,14040104,Introduced,True
Couesius plumbeus,10070001,Introduced,True
Couesius plumbeus,10070006,Native,True
Couesius plumbeus,10080010,Native,True
Couesius plumbeus,10080014,Native,True
Couesius plumbeus,10090101,Native,True
Couesius plumbeus,10090208,Native,True
Couesius plumbeus,10110201,Native,True
Couesius plumbeus,10120201,Native,True
Couesius plumbeus,17010104,Native,True
Couesius plumbeus,04040002,Native,True
Couesius plumbeus,17020001,Native,False
Couesius plumbeus,17020002,Native,False
Couesius plumbeus,17020006,Native,False
Couesius plumbeus,01070006,Native,True
Couesius plumbeus,01080201,Native,False
Couesius plumbeus,02020003,Native,True
Couesius plumbeus,01010002,Native,True
Couesius plumbeus,01010003,Native,True
Couesius plumbeus,01010004,Native,True
Couesius plumbeus,01010005,Native,True
Couesius plumbeus,01020001,Native,True
Couesius plumbeus,01020002,Native,True
Couesius plumbeus,01020003,Native,True
Couesius plumbeus,01020004,Native,True
Couesius plumbeus,01020005,Native,True
Couesius plumbeus,01030002,Native,True
Couesius plumbeus,01030003,Native,True
Couesius plumbeus,01050002,Native,True
Couesius plumbeus,01050003,Native,True
Couesius plumbeus,01060001,Native,True
Couesius plumbeus,01010006,Native,False
Couesius plumbeus,01010007,Native,True
Couesius plumbeus,01010008,Native,True
Couesius plumbeus,01010010,Native,False
Couesius plumbeus,01050001,Native,True
Couesius plumbeus,01050004,Native,True
Couesius plumbeus,04150600,Native,False
Couesius plumbeus,01040002,Native,True
Couesius plumbeus,04030109,Native,True
Couesius plumbeus,04050002,Native,False
Couesius plumbeus,04060104,Native,True
Couesius plumbeus,04030108,Native,True
Couesius plumbeus,10030101,Native,False
Couesius plumbeus,10030102,Native,False
Couesius plumbeus,10030103,Native,False
Couesius plumbeus,10030104,Native,True
Couesius plumbeus,10030105,Native,True
Couesius plumbeus,10030201,Native,False
Couesius plumbeus,10030202,Native,True
Couesius plumbeus,10030203,Native,False
Couesius plumbeus,10030204,Native,False
Couesius plumbeus,10030205,Native,False
Couesius plumbeus,10040101,Native,False
Couesius plumbeus,10040102,Native,False
Couesius plumbeus,10040103,Native,True
Couesius plumbeus,10040104,Native,False
Couesius plumbeus,10040105,Native,False
Couesius plumbeus,10040106,Native,False
Couesius plumbeus,10040201,Native,True
Couesius plumbeus,10040202,Native,False
Couesius plumbeus,10040203,Native,True
Couesius plumbeus,10040204,Native,False
Couesius plumbeus,10040205,Native,False
Couesius plumbeus,10050001,Native,True
Couesius plumbeus,10050002,Native,True
Couesius plumbeus,10050003,Native,False
Couesius plumbeus,10050004,Native,True
Couesius plumbeus,10050005,Native,False
Couesius plumbeus,10050006,Native,False
Couesius plumbeus,10050007,Native,False
Couesius plumbeus,10050008,Native,False
Couesius plumbeus,10050009,Native,False
Couesius plumbeus,10050010,Native,False
Couesius plumbeus,10050011,Native,False
Couesius plumbeus,10050012,Native,False
Couesius plumbeus,10050013,Native,False
Couesius plumbeus,10050014,Native,False
Couesius plumbeus,10050015,Native,False
Couesius plumbeus,10050016,Native,False
Couesius plumbeus,10060001,Native,True
Couesius plumbeus,10060002,Native,False
Couesius plumbeus,10060003,Native,False
Couesius plumbeus,10060004,Native,False
Couesius plumbeus,10060005,Native,False
Couesius plumbeus,10060006,Native,True
Couesius plumbeus,10070002,Native,True
Couesius plumbeus,10070003,Native,True
Couesius plumbeus,10070004,Native,True
Couesius plumbeus,10070005,Native,True
Couesius plumbeus,10070007,Native,True
Couesius plumbeus,10070008,Native,False
Couesius plumbeus,10080015,Native,False
Couesius plumbeus,10090102,Native,True
Couesius plumbeus,10090209,Native,False
Couesius plumbeus,10090210,Native,False
Couesius plumbeus,10100001,Native,False
Couesius plumbeus,10100002,Native,False
Couesius plumbeus,10100003,Native,False
Couesius plumbeus,10100005,Native,False
Couesius plumbeus,10110202,Native,False
Couesius plumbeus,10100004,Native,False
Couesius plumbeus,10110204,Native,False
Couesius plumbeus,10080016,Native,False
Couesius plumbeus,10090207,Native,False
Couesius plumbeus,09030011,Native,False
Couesius plumbeus,09030010,Native,False
Couesius plumbeus,09030003,Native,False
Couesius plumbeus,09030009,Native,False
Couesius plumbeus,04030111,Native,False
Couesius plumbeus,04030112,Native,True
Couesius plumbeus,04060102,Native,True
Couesius plumbeus,04060107,Native,False
Couesius plumbeus,04030106,Native,True
Couesius plumbeus,09030001,Native,False
Couesius plumbeus,04070001,Native,True
Couesius plumbeus,04080101,Native,True
Couesius plumbeus,04020203,Native,False
Couesius plumbeus,04020101,Native,False
Couesius plumbeus,04020105,Native,True
Couesius plumbeus,04020201,Native,True
Couesius plumbeus,04020104,Native,True
Couesius plumbeus,04020103,Native,True
Couesius plumbeus,04010201,Native,False
Couesius plumbeus,04010301,Native,False
