Species,HUC8,Origin,PointData
Cyprinella callitaenia,03130002,Native,True
Cyprinella callitaenia,03130003,Native,True
Cyprinella callitaenia,03130011,Native,True
Cyprinella callitaenia,03130012,Native,True
Cyprinella callitaenia,03130004,Native,True
Cyprinella callitaenia,03130001,Native,True
Cyprinella callitaenia,03130005,Native,True
Cyprinella callitaenia,03130006,Native,True
Cyprinella callitaenia,03130007,Native,True
Cyprinella callitaenia,03130008,Native,True
Cyprinella callitaenia,03130009,Native,True
Cyprinella callitaenia,03130010,Native,False
