Species,HUC8,Origin,PointData
Cyprinella whipplei,05030204,Native,True
Cyprinella whipplei,05040004,Native,True
Cyprinella whipplei,05060002,Native,True
Cyprinella whipplei,05060003,Native,True
Cyprinella whipplei,05090202,Native,True
Cyprinella whipplei,05080002,Native,True
Cyprinella whipplei,05120101,Native,True
Cyprinella whipplei,11070209,Native,True
Cyprinella whipplei,11090204,Native,True
Cyprinella whipplei,11100302,Native,False
Cyprinella whipplei,11110102,Native,True
Cyprinella whipplei,11140103,Native,True
Cyprinella whipplei,11140104,Native,True
Cyprinella whipplei,11140107,Native,True
Cyprinella whipplei,11110103,Native,True
Cyprinella whipplei,11110104,Native,True
Cyprinella whipplei,11110105,Native,True
Cyprinella whipplei,11140105,Native,True
Cyprinella whipplei,05030101,Native,False
Cyprinella whipplei,05030106,Native,True
Cyprinella whipplei,03160109,Native,True
Cyprinella whipplei,03160110,Native,True
Cyprinella whipplei,03160111,Native,True
Cyprinella whipplei,03160112,Native,True
Cyprinella whipplei,06030002,Native,True
Cyprinella whipplei,06030006,Native,True
Cyprinella whipplei,06030005,Native,True
Cyprinella whipplei,06030001,Native,True
Cyprinella whipplei,06030004,Native,True
Cyprinella whipplei,05130106,Native,True
Cyprinella whipplei,05130107,Native,False
Cyprinella whipplei,05130108,Native,False
Cyprinella whipplei,05130201,Native,True
Cyprinella whipplei,05130202,Native,True
Cyprinella whipplei,05130203,Native,True
Cyprinella whipplei,05130204,Native,True
Cyprinella whipplei,06010201,Native,True
Cyprinella whipplei,06010207,Native,True
Cyprinella whipplei,06010208,Native,True
Cyprinella whipplei,06020004,Native,True
Cyprinella whipplei,06040001,Native,True
Cyprinella whipplei,06040002,Native,True
Cyprinella whipplei,06040003,Native,True
Cyprinella whipplei,06040004,Native,True
Cyprinella whipplei,06030003,Native,True
Cyprinella whipplei,05130104,Native,True
Cyprinella whipplei,05130105,Native,True
Cyprinella whipplei,05130205,Native,True
Cyprinella whipplei,05130206,Native,True
Cyprinella whipplei,06040005,Native,True
Cyprinella whipplei,08010202,Native,True
Cyprinella whipplei,06010205,Native,True
Cyprinella whipplei,06010206,Native,True
Cyprinella whipplei,08040101,Native,True
Cyprinella whipplei,08040102,Native,True
Cyprinella whipplei,08040103,Native,True
Cyprinella whipplei,08040201,Native,True
Cyprinella whipplei,08040203,Native,True
Cyprinella whipplei,08040204,Native,True
Cyprinella whipplei,11010004,Native,True
Cyprinella whipplei,11010005,Native,True
Cyprinella whipplei,11010010,Native,True
Cyprinella whipplei,11010012,Native,True
Cyprinella whipplei,11010014,Native,True
Cyprinella whipplei,11110201,Native,True
Cyprinella whipplei,11110202,Native,True
Cyprinella whipplei,11110203,Native,True
Cyprinella whipplei,11110204,Native,True
Cyprinella whipplei,11110205,Native,True
Cyprinella whipplei,11110206,Native,True
Cyprinella whipplei,11110207,Native,True
Cyprinella whipplei,11140109,Native,True
Cyprinella whipplei,08020203,Native,True
Cyprinella whipplei,08020204,Native,True
Cyprinella whipplei,11010001,Native,True
Cyprinella whipplei,11010003,Native,True
Cyprinella whipplei,11010006,Native,True
Cyprinella whipplei,11010007,Native,True
Cyprinella whipplei,11010011,Native,True
Cyprinella whipplei,11140108,Native,True
Cyprinella whipplei,08010100,Native,False
Cyprinella whipplei,11140106,Native,True
Cyprinella whipplei,11140101,Native,True
Cyprinella whipplei,05130101,Native,True
Cyprinella whipplei,05050008,Native,True
Cyprinella whipplei,07130004,Native,False
Cyprinella whipplei,05070202,Native,True
Cyprinella whipplei,05030203,Native,True
Cyprinella whipplei,05050006,Native,True
Cyprinella whipplei,05050007,Native,True
Cyprinella whipplei,05050009,Native,True
Cyprinella whipplei,05070101,Native,True
Cyprinella whipplei,05070102,Native,True
Cyprinella whipplei,05090102,Native,False
Cyprinella whipplei,05030201,Native,True
Cyprinella whipplei,05030202,Native,True
Cyprinella whipplei,05090101,Native,True
Cyprinella whipplei,05070201,Native,True
Cyprinella whipplei,06020001,Native,True
Cyprinella whipplei,05120109,Native,True
Cyprinella whipplei,05120112,Native,True
Cyprinella whipplei,05120114,Native,True
Cyprinella whipplei,05120115,Native,True
Cyprinella whipplei,05140204,Native,True
Cyprinella whipplei,07130003,Native,True
Cyprinella whipplei,07130005,Native,True
Cyprinella whipplei,07130006,Native,True
Cyprinella whipplei,07130007,Native,False
Cyprinella whipplei,07130008,Native,True
Cyprinella whipplei,07130009,Native,True
Cyprinella whipplei,07130010,Native,True
Cyprinella whipplei,07130011,Native,True
Cyprinella whipplei,07140106,Native,True
Cyprinella whipplei,07140108,Native,False
Cyprinella whipplei,07140201,Native,True
Cyprinella whipplei,07140202,Native,True
Cyprinella whipplei,07140203,Native,False
Cyprinella whipplei,07140204,Native,False
Cyprinella whipplei,05120113,Native,True
Cyprinella whipplei,05140203,Native,True
Cyprinella whipplei,07110004,Native,True
Cyprinella whipplei,07110009,Native,True
Cyprinella whipplei,07140101,Native,True
Cyprinella whipplei,07140105,Native,True
Cyprinella whipplei,05080003,Native,True
Cyprinella whipplei,05120102,Native,True
Cyprinella whipplei,05120105,Native,True
Cyprinella whipplei,05120106,Native,True
Cyprinella whipplei,05120107,Native,False
Cyprinella whipplei,05120110,Native,True
Cyprinella whipplei,05120201,Native,True
Cyprinella whipplei,05120202,Native,True
Cyprinella whipplei,05120203,Native,True
Cyprinella whipplei,05120204,Native,True
Cyprinella whipplei,05120205,Native,True
Cyprinella whipplei,05120206,Native,True
Cyprinella whipplei,05120207,Native,True
Cyprinella whipplei,05120208,Native,True
Cyprinella whipplei,05120209,Native,True
Cyprinella whipplei,05120108,Native,True
Cyprinella whipplei,05120111,Native,True
Cyprinella whipplei,05140101,Native,True
Cyprinella whipplei,05090203,Native,True
Cyprinella whipplei,05120103,Native,True
Cyprinella whipplei,05070203,Native,True
Cyprinella whipplei,05070204,Native,True
Cyprinella whipplei,05090104,Native,True
Cyprinella whipplei,05100101,Native,True
Cyprinella whipplei,05100102,Native,True
